source_id,title,url,publisher,source_type,key_finding
1,Police | Hallandale Beach, FL - Official Website,https://hallandalebeachfl.gov/17/Police,City of Hallandale Beach,official_city_police_page,"The city presents Hallandale Beach Police Department as the current municipal police agency and links to Crime Statistics, UCR Reports, and FBI NIBIRS Data from the police page."
2,Staff Directory • Police Department,https://hallandalebeachfl.gov/Directory/Home/DepartmentListing?DID=3,City of Hallandale Beach,official_city_staff_directory,"The Police Department is listed as a 24-hour city department with Chief Michel Michel, Deputy Chief Terence Thouez, and multiple captains."
3,Staff Directory,https://hallandalebeachfl.gov/Directory.aspx,City of Hallandale Beach,official_city_directory,"The city directory separately lists Fire Rescue - BSO Hallandale Beach and Police Department, showing BSO's city role is fire rescue rather than primary policing."
4,November 2024 Monthly Crime Incidents,https://www.hallandalebeachfl.gov/DocumentCenter/View/34816/11---NOVEMBER-2024-MONTHLY,City of Hallandale Beach,official_city_crime_incident_pdf,"The city publicly released a 2024 Hallandale Beach Police Department monthly incident report with HDPD case-level offenses in Hallandale Beach."
5,ATMS agency registry search surface,https://atms.fdle.state.fl.us/atms/od/searchOD.jsf,Florida Department of Law Enforcement,official_state_agency_registry,"FDLE's official agency registry lists Hallandale Beach Police Department with ORI FL0060400."
6,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Hallandale Beach Police Department with population 39,945 and total index crime 1,247."
7,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report retains Hallandale Beach Police Department as a Broward municipal row with population 41,157 but all offense fields blank."
8,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS offense workbook found no Hallandale Beach Police Department row in the 2021, 2022, 2023, 2024, or 2025 Q2 sheets."
9,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0060400 exclusively to Hallandale Beach city."
10,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0060400 is classified as a local police department and is flagged with SRS and NIBRS source presence through 2024."
11,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show Hallandale Beach annual Part I totals of 1,513 in 2018, 1,422 in 2019, and 1,247 in 2020, followed by zero annual totals in 2021-2024."
12,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Hallandale Beach offense controls are fully fill-backed because preferred reported support is zero and the row is treated as structurally missing or unreliable."
13,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Hallandale Beach is queued in high_impact_full_fill_place with total_fill_count 1,489.0, total_reported_count 0.0, and priority_rank 1."
14,fbi_cde_source_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/fbi_cde_source_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"The FBI CDE review queue flags FL0060400 as present_but_no_2024_observation and official_is_nibrs false, consistent with a public continuity gap rather than a sheriff-replacement routing issue."
15,Crime Statistics document center index,https://www.hallandalebeachfl.gov/DocumentCenter/Index/40,City of Hallandale Beach,official_city_crime_incident_index,"The city's document center index exposes the full twelve-PDF 2024 Monthly Crime Incidents roster used to build the packet-local annual offense extract."
16,UCR Summary Reporting Guide Manual,https://www.fdle.state.fl.us/CJAB/Documents/UCR/UCR_Guide_Manual.aspx,Florida Department of Law Enforcement,official_state_ucr_manual,"FDLE UCR offense definitions explicitly classify burglary to a conveyance as larceny theft from motor vehicle and treat Florida aggravated battery within aggravated assault reporting, which supports the Hallandale annual comparator mapping."
