source_id,title,url,publisher,source_type,key_finding
1,Departments - Town of Huntington,https://www.huntingtonny.gov/departments,Town of Huntington,official_town_government,"The Town's departments page lists Public Safety and Maritime Services, but not a Town of Huntington police department."
2,Security Division - Town of Huntington,https://www.huntingtonny.gov/security-division,Town of Huntington,official_town_government,"Huntington describes Security Division patrol of Town facilities, park-ranger peace-officer activity, and parking / town-code complaint handling rather than general municipal policing."
3,2020 Tentative Budget - Public Safety,https://huntingtonny.gov/filestorage/13753/13757/17478/17482/2020_Tentative_Budget_Web.pdf,Town of Huntington,official_town_budget_pdf,"The Town budget says Public Safety consists of Security, Park Ranger, Code Enforcement, Animal Control, and Special Services divisions, which is not the structure of a general town police department."
4,Huntington Bay Constables - Town of Huntington,https://www.huntingtonny.gov/bay-constables,Town of Huntington,official_town_government,"The Town says Bay Constables are peace officers specializing in marine and conservation law enforcement, confirming a narrow harbor function rather than a general town police force."
5,About Huntington - Town of Huntington,https://huntingtonny.gov/content/13747/99540/13817/default.aspx,Town of Huntington,official_town_government,"The Town says Huntington contains four incorporated villages plus multiple unincorporated areas, so it is not a single undivided municipal service surface."
6,Incorporated Villages - Town of Huntington,https://www.huntingtonny.gov/content/13747/99547/13825/default.aspx,Town of Huntington,official_town_government,"The Town lists four incorporated villages within Huntington: Asharoken, Huntington Bay, Lloyd Harbor, and Northport."
7,Public Safety,https://www.suffolkcountyny.gov/public-safety,Suffolk County Government,official_county_government,"Suffolk County says the Suffolk County Police Department provides all police services for the five western towns including Huntington and also serves western-town incorporated villages that maintain their own police departments."
8,Second Precinct,https://suffolkpd.org/Precincts-and-Specialized-Units/Precincts/Second-Precinct,Suffolk County Police Department,official_county_police_page,"The 2nd Precinct states that it serves the residents of the Town of Huntington, supporting county primary responsibility for general policing."
9,Police Department - Village of Northport,https://northportny.gov/person-category/police/,Incorporated Village of Northport,official_village_government,"Northport's official police page lists an active village police department with a chief, lieutenant, sergeants, detectives, and patrol officers."
10,Huntington Bay Police,https://www.huntingtonbay.org/police,Incorporated Village of Huntington Bay,official_village_government,"Huntington Bay's official police page states that the village has its own police headquarters and police officers handling emergencies and non-emergency police matters."
11,About Huntington Bay Village,https://www.huntingtonbay.org/about-us,Incorporated Village of Huntington Bay,official_village_government,"Huntington Bay says it maintains its own accredited police force led by a police chief."
12,Police Department - Village of Lloyd Harbor,https://www.lloydharbor.org/departments/police-department/,Incorporated Village of Lloyd Harbor,official_village_government,"Lloyd Harbor says it has a thirteen-person police department that provides twenty-four hour police protection."
13,local_agency_resolved_full.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/local_agency_resolved_full.csv,CrimeRisk repo,internal_repo_artifact,"NY0510700 is currently resolved as a provisional auto municipal_cousub match to Huntington town."
14,agency_to_jurisdiction_crosswalk.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.csv,CrimeRisk repo,internal_repo_artifact,"The crosswalk routes NY0510700 exclusively to 36:municipal:cousub:3610337000 with weight 1.0."
15,agency_jurisdiction_review.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/agency_jurisdiction_review.csv,CrimeRisk repo,internal_repo_artifact,"NY0510700 shows SRS and NIBRS presence in every year 2018-2024, but the latest SRS row has part I total 0 and months reported 0 while still auto-matching to Huntington town."
16,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"NY0510700 has only zero-count annual summary observations with months_reported 0 across all seven Part I offenses in 2018-2024, including 2024."
17,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"The 2024 Huntington town control row is entirely current-year fill for the six queued offenses using peer_state_type_pop_band estimates totaling about 5118.73."
18,municipal_target_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"Huntington is queued as service_structure_suspect / cousub with offense_count 6, total_fill_count about 5118.73, and reported_share_of_estimated 0.0."
