source_id,title,url,publisher,source_type,key_finding
1,Margate Police Department,https://www.margatefl.com/215/Police,City of Margate,official_city_police_page,"Margate's official police site presents a standalone city Police Department with headquarters, general-information contact, and department sections."
2,About the Police Department / Office of the Chief,https://www.margatefl.com/216/Office-of-the-Chief,City of Margate,official_city_police_page,"The City says Michael Palma was sworn in as Police Chief on September 19, 2024; lists the Police Department as a 24-hour city department; and provides a police public-records request path."
3,About Us,https://www.margatefl.com/450/About-Us,City of Margate,official_city_police_page,"Margate's official police About Us page says Margate was incorporated on May 30, 1955 and that the Margate Police Department has 148 members and is a full-service law-enforcement agency."
4,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal report lists Margate Police Department with population 59,351 and total index crime 780."
5,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/getContentAsset/619960a6-a71f-4655-8eab-2565cd295cd9/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2021A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal report retains Margate Police Department as a named Broward municipal row with population 58,714 but blanks every offense field."
6,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS offense workbook found no Margate row in the 2021, 2022, 2023, 2024, or 2025 Q2 sheets."
7,FBI Crime Data Explorer Florida agency roster,https://cde.ucr.cjis.gov/LATEST/agency/byStateAbbr/FL,Federal Bureau of Investigation,official_federal_agency_roster,"A live March 24, 2026 query to the official FBI CDE Florida roster returned Margate Police Department under ORI FL0062100 in Broward County as a City agency with is_nibrs false and nibrs_start_date null."
8,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0062100 exclusively to Margate city."
9,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0062100 is classified as a local police department and is flagged with SRS and NIBRS source-presence years from 2018 through 2024 even though nibrs_max_months_reported is 0.0."
10,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"FL0062100 has substantive annual totals in 2018, 2019, and 2020, then only zero-valued annual rows from 2021 through 2024."
11,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"Every 2024 Margate control row is fully fill-backed because preferred reported support is zero and the city is treated as structurally missing or unreliable."
12,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Margate is queued in high_impact_full_fill_place with total_fill_count 1032.0 and total_reported_count 0.0."
13,fbi_cde_source_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/fbi_cde_source_review_queue.csv,CrimeRisk repo,internal_repo_review_artifact,"The repo's FBI/CDE review queue separately flags FL0062100 as present_but_no_2024_observation with official_is_nibrs false."
