year,source_name,source_url,published_label,extract_role,published_total,comparison_target_v2_offense,comparison_quality,source_line_reference,notes
2024,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Murder,v2_core_exact,124,murder,exact,Historical Crime Data & 2024 Compared to 2019,Direct city preliminary murder count.
2023,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Murder,v2_core_exact,192,murder,exact,Historical Crime Data & 2024 Compared to 2019,2023 comparator count from the same official city publication.
2024,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Agg. Battery + Agg. Assault/Damage,context_only,1367,aggravated_assault,exact_sum_of_published_subcategories,Historical Crime Data & 2024 Compared to 2019,Hold aggravated_assault out of the production local-publication lane until the city publication is proven to match the project aggravated_assault definition cleanly.
2023,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Agg. Battery + Agg. Assault/Damage,context_only,1780,aggravated_assault,exact_sum_of_published_subcategories,Historical Crime Data & 2024 Compared to 2019,Hold aggravated_assault out of the production local-publication lane until the city publication is proven to match the project aggravated_assault definition cleanly.
2024,NOPD Special Victims Division 2024 Annual Summary,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-SVD-Report.pdf,UCR Rape,v2_core_exact,708,rape,exact,2024 Compared to 2023 / UCR Rape Comparisons,UCR rape comparator from the official SVD annual summary.
2023,NOPD Special Victims Division 2024 Annual Summary,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-SVD-Report.pdf,UCR Rape,v2_core_exact,683,rape,exact,2024 Compared to 2023 / UCR Rape Comparisons,2023 comparator count from the same official SVD publication.
2024,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Armed Robbery + Simple Robbery,v2_core_exact,495,robbery,exact_sum_of_published_subcategories,2024 Compared to 2023,Project robbery count is the sum of the two published robbery categories.
2023,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Armed Robbery + Simple Robbery,v2_core_exact,731,robbery,exact_sum_of_published_subcategories,2024 Compared to 2023,Project robbery count is the sum of the two published robbery categories.
2024,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Agg. Burglary + Simple Burglary + Business Burglary + Residence Burglary,v2_core_exact,1451,burglary,exact_sum_of_published_subcategories,Historical Crime Data & 2024 Compared to 2019,Structure-burglary mapping excludes vehicle burglary from the project burglary count.
2023,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Agg. Burglary + Simple Burglary + Business Burglary + Residence Burglary,v2_core_exact,1768,burglary,exact_sum_of_published_subcategories,Historical Crime Data & 2024 Compared to 2019,Structure-burglary mapping excludes vehicle burglary from the project burglary count.
2024,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Vehicle Burglary + Theft + Shoplifting,v2_core_exact,9068,larceny,exact_sum_of_published_subcategories,Historical Crime Data & 2024 Compared to 2019,Project larceny count is the sum of the published larceny-like property categories.
2023,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Vehicle Burglary + Theft + Shoplifting,v2_core_exact,10334,larceny,exact_sum_of_published_subcategories,Historical Crime Data & 2024 Compared to 2019,Project larceny count is the sum of the published larceny-like property categories.
2024,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Auto Theft,v2_core_exact,3560,motor_vehicle_theft,exact,Historical Crime Data & 2024 Compared to 2019,Direct city preliminary motor vehicle theft count.
2023,NOPD Annual Preliminary Crime Statistics: 2024 Compared to 2023,https://nopdnews.com/nopdnews/media/Assets/Post%20Images/2024-Annual-Crime-Comparisons.pdf,Auto Theft,v2_core_exact,7094,motor_vehicle_theft,exact,Historical Crime Data & 2024 Compared to 2019,2023 comparator count from the same official city publication.
