source_id,title,url,publisher,source_type,key_finding
city_police_services,Police Services (Broward Sheriff's Office),https://www.nlauderdale.org/departments/police_services_(broward_sheriff_s_office)/index.php,City of North Lauderdale,official_city_police_page,"North Lauderdale's official city site says Broward Sheriff's Office provides law-enforcement services for the city and lists a city police-services department page centered on BSO service."
city_budget_2026,FY 2026 Adopted Budget with Links,https://www.nlauderdale.org/123125%20Adopted%20Budget%20Book.pdf?t=202601071629230,City of North Lauderdale,official_city_budget,"The FY2026 adopted budget says the city currently contracts with Broward Sheriff's Office to provide police service, shows a North Lauderdale police department organizational chart contractually provided by BSO, and publishes FY2024 actual citywide public-safety metrics including 798 crimes reported and 32,661 calls for service."
bso_north_lauderdale_page,Broward Sheriff's Office North Lauderdale district page,https://testorg.sheriff.org/north-lauderdale/,Broward Sheriff's Office,official_county_sheriff_district_page,"BSO's current North Lauderdale district page says BSO provides law-enforcement services for the City of North Lauderdale, lists a dedicated district office at 701 SW 71 Avenue, and states the district has 68 employees including 61 sworn personnel."
bso_police_services_agreement_2017,Agreement for Police Services,https://testorg.sheriff.org/media/2ygdshud/northlauderdaledle.pdf,Broward Sheriff's Office / City of North Lauderdale,official_city_county_contract_pdf,"The executed 2017 police-services agreement says North Lauderdale wished to maintain its charter police power while providing daily police services through contractual agreement with BSO, sets the term through September 30, 2021 with a renewal option, and specifies a city-specific staffing structure and minimum staffing."
fdle_atms_registry,FDLE ATMS agency registry search surface,https://atms.fdle.state.fl.us/atms/od/searchOD.jsf,Florida Department of Law Enforcement,official_state_agency_registry,"FDLE's current ATMS registry list still includes North Lauderdale Public Safety Department with ORI FL0062300, preserving an official state agency identity for the city."
fdle_offense_2020,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists North Lauderdale Police Department with population 45,549 and total index crime 838."
fdle_offense_2021,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report retains North Lauderdale Police Department as a named Broward municipal row with population 44,855 but blanks all offense fields."
fdle_fibrs_workbook_repo_copy,FIBRS Offense Detail 2021-2025 Q3 workbook repo copy,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FDLE-FIBRS-2024/FIBRS_Offense_Detail_2021-2025_Q3.xlsx,Florida Department of Law Enforcement / CrimeRisk repo copy,official_state_crime_workbook_repo_copy,"Inspection of the repo's official FDLE FIBRS workbook copy found no North Lauderdale or FL0062300 row in the 2021, 2022, 2023, 2024, or 2025 Q3 offense sheets."
fbi_cde_roster_2024,FBI CDE Florida roster raw file 2024,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/raw/FL.json,Federal Bureau of Investigation / CrimeRisk repo copy,official_federal_agency_roster_repo_copy,"The official 2024 FBI CDE Florida roster still lists North Lauderdale Police Department, ORI FL0062300, as a City agency in Broward County with is_nibrs false and no nibrs_start_date."
agency_to_jurisdiction_crosswalk,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0062300 exclusively to 12:municipal:place:1249425."
agency_master,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0062300 remains classified as a local police agency with SRS and NIBRS source-presence flags through 2024 even though no usable public post-2020 observation row is recovered."
agency_year_observations,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show FL0062300 with annual Part I totals of 1,051 in 2018, 1,047 in 2019, and 838 in 2020, followed by zero-valued annual placeholders in 2021-2024 and no recovered NIBRS rows."
jurisdiction_controls_2024,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"Every 2024 North Lauderdale offense control row is preferred from srs_return_a_annual with reported_count_preferred 0.0 and dominant_reporting_regime structurally_missing_or_unreliable."
municipal_target_review_queue,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"North Lauderdale is queued in high_impact_full_fill_place with total_fill_count 964.0, total_reported_count 0.0, and priority_rank 3."
