source_id,title,url,publisher,source_type,key_finding
1,North Miami Police Dept. Annual Report 2024,https://www.northmiamifl.gov/DocumentCenter/View/20280/2024-NMPD-Annual-Report-PDF,City of North Miami,official_city_police_annual_report,"North Miami's official 2024 police annual report identifies Cherise G. Gause as Chief of Police, describes a 24/7 patrol operation handling about 72,000 calls for service, and states that the Records Unit submits crime statistics to FDLE/FBI and transitioned all reporting systems to FIBRS and NIBRS in 2024."
2,Historic Crime Reductions in the City of North Miami: 2024 Marks Record-Breaking Achievements,https://northmiamifl.gov/CivicAlerts.aspx?AID=123,City of North Miami,official_city_police_news_release,"North Miami's January 9, 2025 police news release reports zero homicides in 2024, a 13 percent reduction in overall crime, a 41 percent reduction in violent crime, and the third-lowest Part I crime total in the city's history since 1979."
3,Contact the Miami-Dade Sheriff's Office,https://www.miamidade.gov/global/police/contact-police.page,Miami-Dade County,official_county_sheriff_contact_page,"Miami-Dade Sheriff's current patrol structure lists municipal districts for Miami Lakes, Palmetto Bay, and Cutler Bay, but not North Miami, which weighs against any claim that North Miami is an MDSO contract-policed city."
4,Municipal Police Stations,https://gisweb.miamidade.gov/GISSelfServices/Data/HTML/MunicipalPoliceStation.htm,Miami-Dade County,official_county_public_safety_dataset,"Miami-Dade County's municipal police-stations dataset includes North Miami Police Department as a municipal police station and notes that most non-emergency calls are handled by the municipality."
5,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists North Miami Police Department as a municipal row with population 65,089 and total index crime 2,489."
6,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report lists North Miami Police Department as a municipal row with population 60,175 and total index crime 2,023."
7,UCR Incident-Based Reports landing page,https://www.fdle.state.fl.us/cjab/ucr/annual-reports/fibrs,Florida Department of Law Enforcement,official_state_crime_portal,"FDLE states that Florida incident-based reporting data are available through downloadable FIBRS workbooks for the 2021-2024 and 2025 reporting cycles."
8,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS workbook found no North Miami Police Department row in the 2021, 2022, 2023, 2024, or 2025 Q2 sheets, even though North Miami Beach Police Department rows appear in later sheets."
9,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0131800 exclusively to North Miami city."
10,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0131800 is classified as a local police department and is flagged with SRS and NIBRS presence through 2024, even though the repo's observed support collapses to zero."
11,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"FL0131800 currently has only SRS annual rows in observations, with totals 2853 in 2018, 2932 in 2019, 2489 in 2020, 0 in 2021, 2096 in 2022, and 0 in 2023-2024; no NIBRS rows are materialized."
12,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 North Miami offense controls are fully fill-backed because preferred reported support is zero and the row is treated as structurally missing or unreliable."
13,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"North Miami is queued in high_impact_full_fill_place with total_fill_count 1810.2024534138 and zero reported support."
14,fbi_cde_source_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/fbi_cde_source_review_queue.csv,CrimeRisk repo,internal_repo_review_artifact,"The repo's FBI/CDE review queue separately flags FL0131800 as present_but_no_2024_observation."
