source_id,title,url,publisher,source_type,key_finding
1,Police / Broward Sheriff's Office (BSO),https://www.oaklandparkfl.gov/209/Police-Broward-Sheriffs-Office-BSO,City of Oakland Park,official_city_police_page,"The official city page says Oakland Park entered into a contract for police services with the Broward Sheriff's Office on August 1, 2000, and that the BSO/Oakland Park District provides police services for the city."
2,FY 2026 Recommended Budget Message PDF,https://www.oaklandparkfl.gov/DocumentCenter/View/14681/FY-2026-Recommended-Budget-Message-PDF,City of Oakland Park,official_city_budget,"The FY 2026 budget message says the city contracts with the Broward Sheriff's Office for police services, identifies the current contract cost, and notes that the old city police pension was effectively closed when Oakland Park began contracting for police services in 2000."
3,ATMS agency registry search surface,https://atms.fdle.state.fl.us/atms/od/searchOD.jsf,Florida Department of Law Enforcement,official_state_agency_registry,"FDLE's official agency registry still lists Oakland Park Police Department with ORI FL0062400."
4,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Oakland Park Police Department as a separate Broward municipal row with population 45,709 and total index crime 1,871."
5,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report retains an Oakland Park Police Department row with population 44,296 but blanks every offense field, showing a transition-era publication break rather than a clean agency retirement."
6,UCR Incident-Based Reports,https://www.fdle.state.fl.us/cjab/ucr/annual-reports/fibrs,Florida Department of Law Enforcement,official_state_crime_portal,"FDLE states that Florida incident-based reporting data are available for the 2021-2024 and 2025 Q1 reporting cycles through downloadable Excel reports."
7,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS offense workbook found no Oakland Park row in the 2021, 2022, 2023, 2024, or 2025 Q2 sheets."
8,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0062400 exclusively to 12:municipal:place:1250575."
9,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0062400 is still classified as a local police department and is flagged with SRS and NIBRS presence through 2024."
10,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show nonzero annual Part I totals for FL0062400 in 2018-2020 and zero annual totals in 2021-2024."
11,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Oakland Park offense controls are fully fill-backed because preferred reported support is zero and the row is treated as structurally missing or unreliable."
12,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Oakland Park is queued in high_impact_full_fill_place with total_fill_count 1,954 and zero reported support."
13,fbi_cde_source_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/fbi_cde_source_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"The FBI CDE review queue flags FL0062400 as present_but_no_2024_observation, which is consistent with a public-source continuity gap."
