source_id,title,url,publisher,source_type,key_finding
1,Police | Opa-Locka, FL,https://opalockafl.gov/140/Police,City of Opa-locka,official_city_police_page,"The city's current police page presents an active Opa-locka Police Department, says officers work around the clock, and lists a city police headquarters, records, investigations, traffic, and report-a-crime functions."
2,General Investigations Unit | Opa-Locka, FL,https://www.opalockafl.gov/145/General-Investigations-Unit,City of Opa-locka,official_city_police_unit_page,"The General Investigations Unit page says detectives investigate crimes that occur within the city, which supports Opa-locka Police Department as the city's primary general-policing authority."
3,Final Five-Year Plan FY 24,https://opalockafl.gov/DocumentCenter/View/4531/Final-Five-Year-Plan-FY-24,City of Opa-locka,official_city_budget_document,"The city's FY24 five-year plan budgets a police function and shows police staffing of 50 sworn plus other personnel, confirming a city-run department rather than county replacement."
4,Ordinance / Resolution package on Miami-Dade sheriff transition (Matter 220728),https://www.miamidade.gov/govaction/legistarfiles/Matters/Y2022/220728.pdf,Miami-Dade County,official_county_transition_document,"Miami-Dade's 2022 sheriff-transition document says Miami-Dade Police serves unincorporated areas plus Miami Lakes, Palmetto Bay, and Cutler Bay, and separately states that the City of Opa-Locka provides municipal police services within its jurisdiction."
5,Florida Criminal Justice Agency Websites,https://www.fdle.state.fl.us/cjstc/publications/criminal-justice-agency-links,Florida Department of Law Enforcement,official_state_agency_directory,"FDLE's criminal-justice agency links page lists Opa Locka Police Department and links to the city's police website, supporting a current official state-recognized agency identity."
6,ATMS Online Directory Search,https://atms.fdle.state.fl.us/atms/od/searchOD.jsf,Florida Department of Law Enforcement,official_state_agency_roster,"FDLE's ATMS directory search includes Opa Locka Police Department with ORI FL0131200, confirming a current official agency identity."
7,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal report publishes Opa-Locka Police Department as a municipal row with population 18,090 and total index crime 1,242."
8,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/getContentAsset/619960a6-a71f-4655-8eab-2565cd295cd9/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2021A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal report publishes Opa-Locka Police Department as a municipal row with population 16,570 and total index crime 869."
9,UCR Incident-Based Reports landing page,https://www.fdle.state.fl.us/cjab/ucr/annual-reports/fibrs,Florida Department of Law Enforcement,official_state_crime_portal,"FDLE states that Florida incident-based reporting data are published through downloadable FIBRS workbooks for 2021 and later periods."
10,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Searching the official FDLE FIBRS workbook found no Opa-Locka, Opa Locka, FL0131200, or 0131200 row in the 2021, 2022, 2023, 2024, or 2025 Q2 sheets."
11,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0131200 exclusively to 12:municipal:place:1251650."
12,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0131200 is classified as a local police department, is marked as having SRS and NIBRS source presence across 2018-2024, but has nibrs_max_months_reported 0 and latest_srs_part1_total 0."
13,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show real CIUS-local annual counts in 2018-2019, then only zero-valued low-weight SRS annual rows from 2020 through 2024 and no NIBRS rows at all."
14,jurisdiction_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/jurisdiction_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Jurisdiction-level observations mirror the agency break: Opa-locka has usable 2018-2019 CIUS-local support, then only zero-valued summary rows from 2020 through 2024."
15,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Opa-locka offense controls are fully fill-backed because preferred reported support is zero and the row is treated as structurally missing or unreliable."
16,jurisdiction_year_estimates.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_year_estimates.parquet,CrimeRisk repo,internal_repo_artifact,"Across offenses, the estimator treats 2019 as the last usable observed year for Opa-locka and fills 2020-2024 from trend or historical estimators."
17,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_review_artifact,"Opa-locka is queued in high_impact_full_fill_place with total_fill_count 1303.5, total_reported_count 0.0, and fill_share_of_estimated 1.0."
18,fbi_cde_source_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/fbi_cde_source_review_queue.parquet,CrimeRisk repo,internal_repo_review_artifact,"The repo's FBI/CDE review queue flags FL0131200 as present_but_no_2024_observation with mismatch_reason no_2024_observation."
