case_key,jurisdiction_id,report_year,report_offense_label,count_2024,count_2023,v2_offense,in_v2_six_offense_review_queue,mapping_quality,source_section,source_pages,note
quincy_il,17:municipal:place:1762367,2024,Criminal Homicide,0,3,murder,false,clean,4.3.1 Violent Crime,11-12,"Official row-level offense count. Maps cleanly to V2 murder, but murder is not one of the six current municipal-target review offenses."
quincy_il,17:municipal:place:1762367,2024,Forcible Rape,46,47,rape,true,label_variance_within_report,4.3.1 Violent Crime,11-12,"Section Two defines this major-crime bucket as Criminal Sexual Assault, while Section 4.3.1 prints Forcible Rape with the same 46 count. Treat this as the local rape-equivalent field for V2."
quincy_il,17:municipal:place:1762367,2024,Robbery,4,2,robbery,true,clean,4.3.1 Violent Crime,11-12,"Official row-level offense count."
quincy_il,17:municipal:place:1762367,2024,Aggravated Battery/Assault,28,42,aggravated_assault,true,state_label_variance,4.3.1 Violent Crime,11-12,"Section Two defines the major-crime bucket as Aggravated Assault/Battery. The count maps to V2 aggravated_assault, but Quincy uses Illinois-style battery/assault wording."
quincy_il,17:municipal:place:1762367,2024,Burglaries,61,75,burglary,true,clean_plural_label,4.3.2 Property Crime,12,"Official row-level offense count."
quincy_il,17:municipal:place:1762367,2024,Thefts,141,427,larceny,true,generic_theft_to_larceny,4.3.2 Property Crime,12,"Section Two defines the seven-major-crime property bucket as Theft and explains that UCR incident counting applies to larceny. Treat the published Thefts row as the local larceny-equivalent field for V2."
quincy_il,17:municipal:place:1762367,2024,Motor Vehicle Thefts,126,93,motor_vehicle_theft,true,clean_plural_label,4.3.2 Property Crime,12,"Official row-level offense count."
quincy_il,17:municipal:place:1762367,2024,Violent Crime Total,79,94,,false,published_total_inconsistent,4.3.1 Violent Crime,11-12,"Published total does not equal the printed violent-component rows: 0 + 46 + 4 + 28 = 78, not 79."
quincy_il,17:municipal:place:1762367,2024,Property Crime Total,502,743,,false,published_total_uses_extra_categories,4.3.2 Property Crime,12,"Published total equals burglary + theft + motor vehicle theft + criminal damage + arson. It is not limited to the seven major crimes defined in Section Two."
quincy_il,17:municipal:place:1762367,2024,Major Index Crime Total,581,837,,false,published_total_not_v2_aggregate,4.3.3 Total Major Crime,12,"Published total equals printed violent total 79 plus printed property total 502. It is not the sum of the seven V2-mappable major-crime rows."
