source_id,title,url,publisher,source_type,key_finding
1,History of Tamarac,https://www.tamarac.org/History,City of Tamarac,official_city_history_page,"Tamarac's official history page says the city was incorporated on July 19, 1963."
2,Volunteering with the City,https://www.tamarac.org/Volunteer,City of Tamarac,official_city_page,"Tamarac's official volunteer page says Broward Sheriff's Office provides police services for the City of Tamarac."
3,"Sep 23, 2020 Regular - Tamarac, FL",https://tamaracfl.new.swagit.com/videos/78067,City of Tamarac,official_city_meeting_transcript,"The City's September 23, 2020 commission meeting approved a BSO police-services agreement effective October 1, 2020 through September 30, 2025 with one five-year renewal option, and city staff described it as a continuation of BSO agreements that had been in place for over the last twenty five years."
4,BSO Tamarac district page,https://testorg.sheriff.org/tamarac/,Broward Sheriff's Office,official_county_sheriff_district_page,"BSO's official Tamarac page lists a Tamarac district office at 7515 Pine Island Road, Tamarac, FL 33321."
5,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Tamarac Police Department with population 66,089 and total index crime 1,155."
6,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report retains Tamarac Police Department as a named Broward municipal row with population 72,509 but all offense cells blank."
7,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS offense workbook found no Tamarac Police Department row in the 2021, 2022, 2023, 2024, or 2025 Q2 sheets."
8,FBI Crime Data Explorer Florida agency roster,https://cde.ucr.cjis.gov/LATEST/agency/byStateAbbr/FL,Federal Bureau of Investigation,official_federal_agency_roster,"The official FBI CDE Florida agency roster lists Tamarac Police Department with ORI FL0063100 in Broward County but marks is_nibrs as false and nibrs_start_date as null."
9,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0063100 exclusively to Tamarac city."
10,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0063100 is classified as a local police department with SRS and NIBRS source-presence flags through 2024 even though nibrs_max_months_reported is 0.0."
11,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"FL0063100 has positive annual totals in 2018, 2019, and 2020, then zero annual rows from 2021 through 2024."
12,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Tamarac offense controls are fully fill-backed because preferred reported support is zero and the row is treated as structurally missing or unreliable."
13,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Tamarac is queued in high_impact_full_fill_place with total_fill_count 1,439.0 and total_reported_count 0.0."
14,fbi_cde_source_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/fbi_cde_source_review_queue.csv,CrimeRisk repo,internal_repo_review_artifact,"The repo's FBI/CDE review queue separately flags FL0063100 as present_but_no_2024_observation with official_is_nibrs false."
