source_id,title,url,publisher,source_type,key_finding
1,Police Department - Warren OH,https://www.warren.org/police_department/index.php,City of Warren,official_city_police,"The official police page identifies a live Warren Police Department at 141 South Street SE, names Chief Eric J. Merkel, describes an active department established in 1867, and says the city police force consists of 70 men and women serving Warren."
2,Personnel Directory - Warren Police Department,https://www.warren.org/police_department/personnel_directory.php,City of Warren,official_city_police_directory,"The official personnel directory lists current command and operational contacts for the chief's office, emergency services, criminal investigations, records, traffic, and animal control, confirming an active city-run police structure."
3,Divisions - Warren Police Department,https://www.warren.org/police_department/divisions.php,City of Warren,official_city_police_divisions,"The official divisions page describes Warren's patrol, investigations, internal affairs, support operations, school resource officers, vehicle maintenance, and traffic functions, and states that patrol officers serve the city 24 hours a day, seven days a week."
4,Annual Report - Warren Police Department,https://www.warren.org/police_department/annual_report.php,City of Warren,official_city_reporting_portal,"The official annual-report page says Warren Police Department compiles yearly citywide law-enforcement statistics and, as reviewed on 2026-03-24, publicly links reports through 2023 with no reviewed 2024 report located."
5,Warren Police Department 2023 Annual Report,https://www.warren.org/Documents/Departments/Police/Annual%20Report/2023_Annual_Report_FINAL.pdf?t=202408131516180,City of Warren,official_city_annual_report,"The 2023 Warren Police Department annual report publishes a UCR Part 1 index-crime table for 2021-2023 and shows that Warren still had a current local annual police-reporting surface through 2023."
6,Warren Police Department 2022 Annual Report,https://www.warren.org/Documents/Departments/Police/Annual%20Report/2022%20Annual%20Report%20FINAL.pdf?t=202408131524100,City of Warren,official_city_annual_report,"The 2022 Warren Police Department annual report publishes a UCR Part 1 index-crime table for 2020-2022, confirming that Warren continued to publish city-origin annual crime totals after 2020."
7,Crime Activity Map - Warren Police Department,https://www.warren.org/police_department/crime_activity_map.php,City of Warren,official_city_crime_map,"The official crime-map page says Warren Police Department participates in RAIDS Online, providing citizens with a recent-crimes map, analysis dashboard, alerts, and anonymous tips, which confirms an active current public-reporting artifact."
8,City of Warren 2024 Audit,https://ohioauditor.gov/AuditSearch/Reports/2025/City_of_Warren_24_Trumbull_FINAL.pdf,Ohio Auditor of State / City of Warren,official_city_financial_report,"The 2024 city audit states that Warren Police Department received ARPA, DOJ Bulletproof Vest Partnership, and Ohio Traffic Safety Office funding in 2024 and continued operating its own impound lot, confirming ongoing city police operations in 2024."
9,Law Enforcement Directory search: Warren Police Department,https://ohioattorneygeneral.gov/law-enforcement/law-enforcement-directory?page=1&searchmode=anyword&searchtext=Warren+Police+Department,Ohio Attorney General,official_state_law_enforcement_directory,"Ohio's law-enforcement directory lists Warren Police Department separately with Chief Eric Merkel at 141 South St. SE in Warren, confirming a current standalone municipal agency identity."
10,Law Enforcement Directory search: Trumbull County Sheriff,https://ohioattorneygeneral.gov/law-enforcement/law-enforcement-directory?page=1&searchmode=anyword&searchtext=Trumbull+County+Sheriff,Ohio Attorney General,official_state_law_enforcement_directory,"Ohio's law-enforcement directory separately lists Trumbull County Sheriff's Office with Sheriff Michael Wilson at 150 High St., showing the sheriff as a distinct county agency rather than Warren Police Department's successor."
11,Road Division - Sheriff Trumbull County,https://www.co.trumbull.oh.us/Sheriff/Deputies/Road-Division,Trumbull County Sheriff's Office,official_county_sheriff,"The sheriff's official road-division page says deputies patrol 637 square miles and provide law-enforcement services to 26 townships in Trumbull County, which supports a county-township service role rather than a sheriff replacement for Warren city policing."
12,agency_rosters_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,FBI Crime Data Explorer,official_federal_agency_roster_extract,"The official FBI 2024 agency roster lists OH0780700 as Warren Police Department in Trumbull County, agency type City, with is_nibrs true and nibrs_start_date 2008-02-01."
13,ori_source_validation_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/validation/ori_source_validation_2024.csv,CrimeRisk repo using official FBI CDE roster inputs,internal_validation_against_official_federal_roster,"Repo validation flags OH0780700 as present_but_no_2024_observation with official_nibrs_started_by_2024_but_repo_no_nibrs, which supports a 2024 continuity failure on a still-recognized agency."
14,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes OH0780700 exclusively to 39:municipal:place:3980892 with relationship_type exclusive and weight 1.0, supporting Warren city as the correct municipal target."
15,jurisdiction_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/jurisdiction_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show substantive Warren counts through 2023 but only a zero-valued 2024 SRS placeholder row with 0 mean months reported; they also show that repo 2020-2023 federal/state-derived counts are materially lower than Warren's official local annual-report totals."
16,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Warren control rows show reported_count_preferred 0.0, mean_months_reported_preferred 0.0, and dominant_reporting_regime structurally_missing_or_unreliable, confirming the current year is fully unsupported by observed counts."
17,municipal_target_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"Warren city is queued as high_impact_full_fill_place with full_fill_no_reported_support, total_fill_count about 990.73, reported_share_of_estimated 0.0, and priority_rank 1."
