source_id,title,url,publisher,source_type,key_finding
1,Police,https://www.wgpd.com/174/Police,City of Winter Garden,official_city_police_page,"Winter Garden maintains a live Police Department page with Administration, Patrol Services, and Support Services, plus current contact information at 251 W Plant Street."
2,Administration,https://www.wgpd.com/460/Administration,Winter Garden Police Department,official_city_police_page,"WGPD says it protects an approximately 17 square mile area and currently employs 87 sworn police officers and 30 civilians."
3,Patrol Services,https://www.wgpd.com/276/Patrol-Services,Winter Garden Police Department,official_city_police_page,"WGPD describes active patrol functions including uniform patrol, bicycle patrol, a community liaison unit, and a canine unit."
4,Support Services,https://www.wgpd.com/282/Support-Services,Winter Garden Police Department,official_city_police_page,"WGPD describes active support functions including criminal investigations, property and evidence, school crossing guards, and traffic enforcement."
5,Staff Directory - Police,https://www.wgpd.com/directory.aspx?DID=6,City of Winter Garden,official_city_police_directory,"The current staff directory lists Winter Garden Police with a non-emergency line, a 911 emergency line, Police Chief Steve Graham, and current patrol, administrative, support, records, and evidence contacts."
6,Citizens Police Academy,https://www.wgpd.com/461/Citizens-Police-Academy,Winter Garden Police Department,official_city_police_page,"WGPD advertises 2026 Citizens Police Academy sessions taught by Winter Garden police officers and staff in the department training room."
7,Records Requests - REV 01-16-2026,https://www.wgpd.com/DocumentCenter/View/5648/Records-Requests---REV-01-16-2026?bidId=,City of Winter Garden,official_city_records_document,"The City's January 16, 2026 records-request memo gives a dedicated police-records request path through Winter Garden Police Department and Capt. Scott Allen as police records management liaison."
8,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Winter Garden Police Department as a normal municipal row with population 48,469 and total index crime 963."
9,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/getContentAsset/619960a6-a71f-4655-8eab-2565cd295cd9/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2021A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report retains a Winter Garden Police Department row with population 47,475 but publishes dashes instead of offense totals."
10,FIBRS Offense Detail 2021-2025 Q3 workbook,https://www.fdle.state.fl.us/getContentAsset/d7a9c200-43fd-4a08-8f39-fe9382115a42/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q3.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS offense workbook found no Winter Garden Police Department or FL0480500 row on the 2021, 2022, 2023, 2024, or 2025 Q3 sheets."
11,FBI CDE agency roster by state abbreviation (FL),https://api.usa.gov/crime/fbi/cde/agency/byStateAbbr/FL,Federal Bureau of Investigation,official_federal_agency_roster_api,"The official FBI CDE roster still lists FL0480500 as Winter Garden Police Department, agency type City, but marks is_nibrs as false with no nibrs_start_date."
12,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"FL0480500 routes exclusively to 12:municipal:place:1278250 Winter Garden city."
13,jurisdiction_master.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/jurisdiction_master.csv,CrimeRisk repo,internal_repo_artifact,"Winter Garden city is a municipal place target with agency_count 1 and is_contracted_place set to False."
14,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"agency_master classifies FL0480500 as a local police department and flags source presence in both SRS and NIBRS years through 2024, even though the current FBI roster marks the agency non-NIBRS."
15,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations carry substantive Winter Garden counts through 2020 but only zero-valued SRS annual rows in 2021-2024 and no NIBRS rows."
16,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Winter Garden offense controls are fully fill-backed because preferred reported support is zero and the row is treated as structurally missing or unreliable."
17,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Winter Garden is queued as a high-impact full-fill municipal target with total_fill_count 1,130 and total_reported_count 0."
