source_id,source_type,title,publisher,url,accessed_date,relevance,notes
bwi_facts_figures,official_web,BWI Marshall Airport Facts and Figures,BWI Marshall Airport / Maryland Aviation Administration,https://bwiairport.com/flying-with-us/about-bwi/facts-figures/,2026-03-24,"Official BWI source for operator and acreage; states BWI is operated by the Maryland Aviation Administration and is 3,596.3 acres.","Best concise official airport-identity source for a bounded BWI campus."
bwi_rental_cars,official_web,Rental Cars,BWI Marshall Airport / Maryland Aviation Administration,https://bwiairport.com/to-from-bwi/transportation/rental-cars/,2026-03-24,"Official BWI source locating the consolidated rental-car facility at Stoney Run Road and New Ridge Road and describing it as part of the airport's rental-car operation.","Useful for showing the BWI facility system is not equivalent to a single municipal place boundary."
maa_appendix_h_biological,official_pdf,"Final Environmental Assessment and Section 4(f) Determination, ALP Phase I Improvements at BWI Marshall Airport, Appendix H: Biological Resources",Maryland Aviation Administration,https://marylandaviation.com/wp-content/uploads/2020/11/111220_Appendix%20H%20-%20Biological.pdf,2026-03-24,"Official MAA appendix stating MAA owns and maintains approximately 3,500 acres of contiguous BWI property associated with airside operations, landside facilities, parking areas, maintenance buildings, and a consolidated rental car facility, plus approximately 400 acres of offsite properties.","Strongest official textual source for using the contiguous BWI property footprint while excluding generic offsite holdings."
maa_final_ea_property_boundary,official_pdf,"Final Environmental Assessment and Section 4(f) Determination and Finding of No Significant Impact / Record of Decision, ALP Phase I Improvements at BWI Marshall Airport",Maryland Aviation Administration,https://marylandaviation.com/wp-content/uploads/2020/11/111220_Final%20EA%20and%20Section%204f%20Determination%20and%20Finding%20of%20No%20Significant%20Impact%20%20Record%20of%20Decision.pdf,2026-03-24,"Official MAA environmental-review PDF whose figures repeatedly label the Airport Property Boundary or BWI Airport Property Boundary.","Primary official map-style evidence that BWI has a defined property boundary for planning and review."
comar_bwi_definitions,official_regulation,COMAR 11.03.01.01 Definitions,Library of Maryland Regulations,https://regs.maryland.gov/us/md/exec/comar/11.03.01.01,2026-03-24,"Defines Air operations area, Airport, Airport police, On-Airport, and Terminal in BWI-specific facility terms.","Core legal source for the ordinary BWI facility footprint."
mdta_bwi_travel_tips,official_web,MDTA Police BWI Thurgood Marshall Airport Travel Tips,Maryland Transportation Authority,https://www.mdta.maryland.gov/Police/BWI_Travel_Tips.html,2026-03-24,"Official MDTA statement that MDTA Police provide law-enforcement services at BWI and traffic management at the terminal.","Best concise public source that MDTA is the current provider of the BWI police function."
mdta_bwi_detachment_contact,official_web,MDTA Police Contact Us,Maryland Transportation Authority,https://mdta.maryland.gov/index.php/Police/Contact_Info.html,2026-03-24,"Lists Baltimore/Washington International Thurgood Marshall Airport as a distinct MDTA Police command with its own commander.","Shows BWI is operationally treated as its own airport detachment, not as generic county/place geography."
mdta_financials_2025,official_pdf,2025 Financial Statements and Supplemental Exhibits,Maryland Transportation Authority,https://mdta.maryland.gov/sites/default/files/Files/Financial_Statements/2025%20Financial%20Statements%20and%20Supplemental%20Exhibits.pdf,2026-03-24,"Official audited statement that MDTA Police provide law-enforcement services to MAA at BWI with protection in the main terminal, surrounding roadways, parking garages and lots, and the rental-car and cargo facilities.","Best operational-scope source for what the BWI police footprint actually covers."
md_transport_4_208,official_statute,Transportation Article Section 4-208,Maryland General Assembly,https://mgaleg.maryland.gov/mgawebsite/laws/StatuteText?article=gtr&section=4-208,2026-03-24,"Primary statute placing MDTA police authority on MAA property, requiring MDTA Police to provide police services to MAA, preserving continuity from the former MAA police force, and authorizing a conditional 500-foot perimeter-security extension.","Key source for the MDTA versus MAA role distinction and for rejecting a default perimeter buffer."
md_crim_proc_2_102,official_statute,Criminal Procedure Article Section 2-102,Maryland General Assembly,https://mgaleg.maryland.gov/mgawebsite/laws/StatuteText?article=gcp&section=2-102,2026-03-24,"Recognizes the MDTA chief-of-police notice role on property owned, leased, operated by, or under the control of MAA, MDTA, or MPA.","Useful corroboration that MAA property is treated as part of the MDTA police jurisdictional sphere."
