source_type,source_name,source_url,authority_level,why_used
official_harbor_police_page,Harbor Police,https://www.portofsandiego.org/public-safety/harbor-police,primary,Official Harbor Police page describing landside waterfront patrol across five cities marine response on San Diego Bay and airport patrol at San Diego International Airport.
official_harbor_police_faq,Harbor Police FAQ,https://www.portofsandiego.org/public-safety/harbor-police-faq,primary,Official FAQ stating Harbor Police provide uniformed police and marine firefighting within the territorial limits of the Port and serve Lindbergh Field San Diego Bay and Tidelands and continue serving the airport under contract with the airport authority.
official_port_about_page,About the Port of San Diego,https://www.portofsandiego.org/about-port-san-diego,primary,Official Port overview establishing a specially created district spanning 34 miles of San Diego Bay across five cities and linking to the official tidelands map.
official_port_terminals_page,Terminals,https://www.portofsandiego.org/maritime/terminals,primary,Official Port terminals page naming the two marine terminals and two cruise ship terminals and confirming secure maritime terminal access at Tenth Avenue National City B Street and Broadway Pier.
official_port_parks_page,Parks,https://www.portofsandiego.org/visit-waterfront/see-and-do/parks,primary,Official Port parks page confirming the Port manages 23 public parks and public spaces across its waterfront.
official_port_airport_page,San Diego International Airport,https://www.portofsandiego.org/coming-and-going/san-diego-international-airport,primary,Official Port page placing San Diego International Airport in the Port waterfront system and near Harbor Island and downtown San Diego.
official_state_law,San Diego Unified Port District Act,https://pantheonstorage.blob.core.windows.net/administration/San-Diego-Unified-Port-District-Act.pdf,primary,Official state-law source defining district territory and powers and authorizing Port regulation of navigable waters tidelands submerged lands other district lands airport facilities parks and marinas.
official_port_map,Port of San Diego Tidelands Map,https://www.portofsandiego.org/sites/default/files/media/images/2021/01/Port-of-San-Diego_Tidelands-Map_Digital-full.jpg,primary,Official Port map depicting the Port's jurisdiction area in and around San Diego Bay.
official_port_gis_boundary,Port Administrative Boundary Feature Layer,https://services2.arcgis.com/kvy1JT30Izby5wgm/arcgis/rest/services/Port_Administrative_Boundary/FeatureServer/0,primary,Official Port GIS layer for the limit or border of the geographic area under Port jurisdiction control or influence and the cleanest direct custom-footprint source.
official_port_gis_property,Port Property Boundaries Feature Layer,https://services2.arcgis.com/kvy1JT30Izby5wgm/ArcGIS/rest/services/Port_Property_Boundaries/FeatureServer/0,primary,Official Port GIS layer for recorded Port land and water asset boundaries useful to QA or refine land-side edges of the custom footprint.
