ori,state_fips,block_group_geoid,weight_share,geometry_source_type,geometry_source_ref,footprint_note
CA0071800,06,060133071022,0.0030652632940838,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133071023,0.0069696559484330,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133071024,0.0094155411061582,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133072011,0.0164435846044599,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133072012,0.0116643107776617,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133072021,0.0044044474550954,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133072051,0.0201420332926837,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133080011,0.0333342145168120,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133080021,0.0121443878519924,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133110001,0.0016068781494785,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133110002,0.0021404594327620,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133110003,0.0019729662753677,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
CA0071800,06,060133120001,0.0100400471960295,official_gtfs_plus_official_kmz_geometry,"BART official GTFS permalink plus official stations-tracks-entrances KMZ from the BART developer/geospatial pages; inherit the validated CA0012100 system-property footprint (20 m track buffer, 45 m station-complex buffer, 75 m unmatched-station buffers in EPSG:5070), then keep only Contra Costa County block groups and renormalize shares to the county slice.",Contra Costa-clipped subset of the official BART system-property footprint used for CA0012100: retain only 2020 California TIGER block groups with GEOID prefix 06013 and renormalize their official-footprint area shares to sum to 1.0 for CA0071800.
