analysis_date,source_type,source_name,source_url,access_status,role_in_packet,notes
2026-03-24,official_hupd_scope_page,HUPD Clery Geography Maps,https://www.hupd.harvard.edu/clery-geography-maps,200_OK,Primary Massachusetts campus scope support,"Defines the Massachusetts campus map family used to anchor Cambridge, Longwood, Arnold Arboretum, Concord Field Station, and Harvard Forest inclusion."
2026-03-24,official_hupd_map_pdf,Cambridge Campus Clery Geography Map,https://www.hupd.harvard.edu/sites/g/files/omnuum12486/files/2025-11/Cambridge%20Campus%20Clery%20Geography%20112525.pdf,200_OK,Urban scope support,Supports the Cambridge/Allston/Somerville-side HUPD geography.
2026-03-24,official_hupd_map_pdf,Longwood Campus Clery Geography Map,https://www.hupd.harvard.edu/sites/g/files/omnuum12486/files/2025-11/Longwood%20Campus%20Clery%20Geography%20112525.pdf,200_OK,Urban scope support,Supports the Longwood/Boston component.
2026-03-24,official_hupd_map_pdf,Arnold Arboretum Campus Clery Geography Map,https://www.hupd.harvard.edu/sites/g/files/omnuum12486/files/hupd/files/arnold_arboretum_campus_clery_geography_2021_093021.pdf,200_OK,Arnold Arboretum scope support,Supports the Boston Jamaica Plain/Roslindale Arnold Arboretum inclusion.
2026-03-24,official_hupd_map_pdf,Concord Field Station Campus Clery Geography Map,https://www.hupd.harvard.edu/sites/g/files/omnuum12486/files/hupd/files/concord_field_station_campus_clery_geography_2021_093021.pdf,200_OK,Concord Field Station scope support,Used with the official Concord Field Station page to justify including Bedford/Concord/Carlisle holdings rather than only the tiny mapped core.
2026-03-24,official_hupd_map_pdf,Harvard Forest Campus Clery Geography Map,https://www.hupd.harvard.edu/sites/g/files/omnuum12486/files/hupd/files/harvard_forest_campus_clery_geography_2021_093021.pdf,200_OK,Harvard Forest scope support,Used to justify including the Massachusetts Harvard Forest/Petersham holdings rather than only the central inset.
2026-03-24,official_harvard_map_layer,Harvard Facilities FeatureServer layer 8,https://mapprod.cadm.harvard.edu/server/rest/services/Hosted/Facilities/FeatureServer/8,200_OK,Primary urban geometry seed,Official Harvard building polygons used for the urban campus seed geometry.
2026-03-24,official_harvard_map_layer,Harvard HUGreenSpace VectorTileServer,https://mapprod.cadm.harvard.edu/server/rest/services/Hosted/HUGreenSpace/VectorTileServer,200_OK,Primary urban grounds geometry seed,Official Harvard landscaped/natural-ground polygons decoded from vector tiles over the Massachusetts urban campuses.
2026-03-24,official_state_parcel_layer,MassGIS Level 3 Parcels FeatureServer layer 1,https://arcgisserver.digital.mass.gov/arcgisserver/rest/services/AGOL/L3_Parcels_FeatureService_4326/FeatureServer/1,200_OK,Exact parcel envelope source,Used for Harvard parcel-envelope expansion near official urban facilities and for direct Bedford/Concord/Carlisle/Petersham parcel geometry.
2026-03-24,official_harvard_page,Concord Field Station home page,https://cfs.mcz.harvard.edu/,200_OK,Rural scope QA,Official Harvard page describing the Bedford campus core and the adjoining Concord/Estabrook Woods holdings.
2026-03-24,official_harvard_data,Harvard Forest GIS tract archive HF110,https://harvardforest1.fas.harvard.edu/data/p11/hf110/hf110-01-gis.zip,200_OK,Rural Petersham QA,Used as supporting Harvard Forest property-system QA even though the exact build geometry comes from MassGIS parcels.
2026-03-24,official_harvard_factbook,Harvard FY2024 Physical Plant Fact Book,https://oira.harvard.edu/factbook/fact-book-physical-plant/,200_OK,Acreage QA reference,Used to QA the built acreage totals against Harvard-reported Massachusetts land totals by community.
