ori,state_fips,block_group_geoid,weight_share,geometry_source_type,geometry_source_ref,footprint_note
OR0260300,41,410510035013,0.000337987893655335,official_port_property_polygon_system_footprint,"Port of Portland Properties FeatureServer layer 25 GeoJSON query, QA'd against current Port facility/property pages, ArcGIS Map Viewer surface, and Port-hosted overview PDFs.","Union of all polygons in the official Port of Portland Properties layer after geometry repair and overlap dissolution; includes PDX, Hillsboro Airport, Troutdale Airport, Terminals 4-6, air cargo and industrial/business park parcels, Innovation Campus at Terminal 2, Government Island, West Hayden Island, and other named Port assets represented in the official layer; intersected with 2020 Oregon TIGER block groups using EPSG:5070 area shares."
OR0260300,41,410510041042,0.0174117811703544,official_port_property_polygon_system_footprint,"Port of Portland Properties FeatureServer layer 25 GeoJSON query, QA'd against current Port facility/property pages, ArcGIS Map Viewer surface, and Port-hosted overview PDFs.","Union of all polygons in the official Port of Portland Properties layer after geometry repair and overlap dissolution; includes PDX, Hillsboro Airport, Troutdale Airport, Terminals 4-6, air cargo and industrial/business park parcels, Innovation Campus at Terminal 2, Government Island, West Hayden Island, and other named Port assets represented in the official layer; intersected with 2020 Oregon TIGER block groups using EPSG:5070 area shares."
OR0260300,41,410510042003,0.0111661888856254,official_port_property_polygon_system_footprint,"Port of Portland Properties FeatureServer layer 25 GeoJSON query, QA'd against current Port facility/property pages, ArcGIS Map Viewer surface, and Port-hosted overview PDFs.","Union of all polygons in the official Port of Portland Properties layer after geometry repair and overlap dissolution; includes PDX, Hillsboro Airport, Troutdale Airport, Terminals 4-6, air cargo and industrial/business park parcels, Innovation Campus at Terminal 2, Government Island, West Hayden Island, and other named Port assets represented in the official layer; intersected with 2020 Oregon TIGER block groups using EPSG:5070 area shares."
OR0260300,41,410510043001,0.00494289617060922,official_port_property_polygon_system_footprint,"Port of Portland Properties FeatureServer layer 25 GeoJSON query, QA'd against current Port facility/property pages, ArcGIS Map Viewer surface, and Port-hosted overview PDFs.","Union of all polygons in the official Port of Portland Properties layer after geometry repair and overlap dissolution; includes PDX, Hillsboro Airport, Troutdale Airport, Terminals 4-6, air cargo and industrial/business park parcels, Innovation Campus at Terminal 2, Government Island, West Hayden Island, and other named Port assets represented in the official layer; intersected with 2020 Oregon TIGER block groups using EPSG:5070 area shares."
OR0260300,41,410510045001,2.5254880778359e-05,official_port_property_polygon_system_footprint,"Port of Portland Properties FeatureServer layer 25 GeoJSON query, QA'd against current Port facility/property pages, ArcGIS Map Viewer surface, and Port-hosted overview PDFs.","Union of all polygons in the official Port of Portland Properties layer after geometry repair and overlap dissolution; includes PDX, Hillsboro Airport, Troutdale Airport, Terminals 4-6, air cargo and industrial/business park parcels, Innovation Campus at Terminal 2, Government Island, West Hayden Island, and other named Port assets represented in the official layer; intersected with 2020 Oregon TIGER block groups using EPSG:5070 area shares."
OR0260300,41,410510072011,0.068857018110688,official_port_property_polygon_system_footprint,"Port of Portland Properties FeatureServer layer 25 GeoJSON query, QA'd against current Port facility/property pages, ArcGIS Map Viewer surface, and Port-hosted overview PDFs.","Union of all polygons in the official Port of Portland Properties layer after geometry repair and overlap dissolution; includes PDX, Hillsboro Airport, Troutdale Airport, Terminals 4-6, air cargo and industrial/business park parcels, Innovation Campus at Terminal 2, Government Island, West Hayden Island, and other named Port assets represented in the official layer; intersected with 2020 Oregon TIGER block groups using EPSG:5070 area shares."
OR0260300,41,410510072021,0.00057671411196879,official_port_property_polygon_system_footprint,"Port of Portland Properties FeatureServer layer 25 GeoJSON query, QA'd against current Port facility/property pages, ArcGIS Map Viewer surface, and Port-hosted overview PDFs.","Union of all polygons in the official Port of Portland Properties layer after geometry repair and overlap dissolution; includes PDX, Hillsboro Airport, Troutdale Airport, Terminals 4-6, air cargo and industrial/business park parcels, Innovation Campus at Terminal 2, Government Island, West Hayden Island, and other named Port assets represented in the official layer; intersected with 2020 Oregon TIGER block groups using EPSG:5070 area shares."
OR0260300,41,410510072023,0.177145542316412,official_port_property_polygon_system_footprint,"Port of Portland Properties FeatureServer layer 25 GeoJSON query, QA'd against current Port facility/property pages, ArcGIS Map Viewer surface, and Port-hosted overview PDFs.","Union of all polygons in the official Port of Portland Properties layer after geometry repair and overlap dissolution; includes PDX, Hillsboro Airport, Troutdale Airport, Terminals 4-6, air cargo and industrial/business park parcels, Innovation Campus at Terminal 2, Government Island, West Hayden Island, and other named Port assets represented in the official layer; intersected with 2020 Oregon TIGER block groups using EPSG:5070 area shares."
OR0260300,41,410510073001,0.330463143674827,official_port_property_polygon_system_footprint,"Port of Portland Properties FeatureServer layer 25 GeoJSON query, QA'd against current Port facility/property pages, ArcGIS Map Viewer surface, and Port-hosted overview PDFs.","Union of all polygons in the official Port of Portland Properties layer after geometry repair and overlap dissolution; includes PDX, Hillsboro Airport, Troutdale Airport, Terminals 4-6, air cargo and industrial/business park parcels, Innovation Campus at Terminal 2, Government Island, West Hayden Island, and other named Port assets represented in the official layer; intersected with 2020 Oregon TIGER block groups using EPSG:5070 area shares."
OR0260300,41,410510102001,0.0586381682900524,official_port_property_polygon_system_footprint,"Port of Portland Properties FeatureServer layer 25 GeoJSON query, QA'd against current Port facility/property pages, ArcGIS Map Viewer surface, and Port-hosted overview PDFs.","Union of all polygons in the official Port of Portland Properties layer after geometry repair and overlap dissolution; includes PDX, Hillsboro Airport, Troutdale Airport, Terminals 4-6, air cargo and industrial/business park parcels, Innovation Campus at Terminal 2, Government Island, West Hayden Island, and other named Port assets represented in the official layer; intersected with 2020 Oregon TIGER block groups using EPSG:5070 area shares."
