case_id,agency,status,source_rank,source_category,source_name,source_url,file_format,live_checked_on,officiality,production_usable,recommended_role,notes
MD0020300,BWI / Maryland Aviation Administration,buildable_now,1,official_downloadable_gis,Anne Arundel County Parcels Feature Layer,https://gis.aacounty.org/arcgis/rest/services/OpenData/Planning_OpenData/MapServer/34,ArcGIS REST polygon layer with JSON/geoJSON query support,2026-03-24,official,yes,primary_geometry,Use owner fields such as ASST_FIRST_OWNER and ASST_SECND_OWNER to select Maryland Aviation Administration parcels and dissolve them into the airport property footprint.
MD0020300,BWI / Maryland Aviation Administration,buildable_now,2,official_pdf_map,Final EA and Section 4(f) Determination / FONSI-ROD,https://marylandaviation.com/wp-content/uploads/2020/11/111220_Final%20EA%20and%20Section%204f%20Determination%20and%20Finding%20of%20No%20Significant%20Impact%20%20Record%20of%20Decision.pdf,PDF,2026-03-24,official,yes,validation_and_manual_cleanup,Use airport property and project figures to confirm the parcel union matches the intended continuous BWI airport campus and to exclude any off-campus owner-match parcels.
MD0020300,BWI / Maryland Aviation Administration,buildable_now,2,official_pdf_map,Appendix H - Biological,https://marylandaviation.com/wp-content/uploads/2020/11/111220_Appendix%20H%20-%20Biological.pdf,PDF,2026-03-24,official,yes,validation_and_manual_cleanup,Supplemental official map packet for property-edge QA where the main EA figures are not detailed enough.
GA0602400,Hartsfield-Jackson Atlanta airport case,buildable_now,1,official_downloadable_gis,ATL_Airfield FeatureServer,https://services5.arcgis.com/62o2qANhRqripAuB/arcgis/rest/services/ATL_Airfield/FeatureServer,ArcGIS FeatureServer exportable to shapefile geojson filegdb and geopackage,2026-03-24,official,yes,primary_geometry,Use AirOperationsArea together with apron infield movement and runway-safety polygons to define the operational airport footprint.
GA0602400,Hartsfield-Jackson Atlanta airport case,buildable_now,1,official_downloadable_gis,ATL_Surface_Transportation FeatureServer,https://services5.arcgis.com/62o2qANhRqripAuB/arcgis/rest/services/ATL_Surface_Transportation/FeatureServer,ArcGIS FeatureServer exportable to shapefile geojson filegdb and geopackage,2026-03-24,official,yes,supplemental_geometry,Adds official parking-lot and roadway facility polygons needed to cover landside airport areas not captured by airfield-only layers.
GA0602400,Hartsfield-Jackson Atlanta airport case,buildable_now,1,official_downloadable_gis,ATL_Buildings FeatureServer,https://services5.arcgis.com/62o2qANhRqripAuB/arcgis/rest/services/ATL_Buildings/FeatureServer,ArcGIS FeatureServer exportable to shapefile geojson filegdb and geopackage,2026-03-24,official,yes,supplemental_geometry,Adds official building polygons and related airport structures for campus closure and QA.
GA0602400,Hartsfield-Jackson Atlanta airport case,buildable_now,1,official_downloadable_gis,Clayton County Tax Parcels,https://gis.claytoncountyga.gov/server/rest/services/TaxAssessor/Parcels/MapServer/0,ArcGIS REST polygon layer,2026-03-24,official,yes,ownership_validation_and_landside_fill,Filter by OWNERNME SITEADDRES APPRAREA and airport land-use fields to pull City of Atlanta airport parcels and use them to validate and extend the official airport-operated GIS footprint.
TX2203600,DFW Airport Police,buildable_now,1,official_downloadable_gis,Tarrant Appraisal District 2025 Parcels,https://www.tad.org/content/gis-data/2025ESRI_Parcels.zip,ZIP parcel package from TAD GIS downloads page,2026-03-24,official,yes,primary_geometry_tarrant_side,Use with the TAD property roll to identify airport-board-owned parcels on the Tarrant County side of DFW.
TX2203600,DFW Airport Police,buildable_now,1,official_downloadable_gis,Tarrant Appraisal District PropertyData-FullSet Certified,https://www.tad.org/content/data-download/PropertyData_2025(Certified).ZIP,ZIP appraisal roll table,2026-03-24,official,yes,ownership_join_tarrant_side,Join to TAD parcel geometry to recover owner names and parcel identifiers for airport-board parcel selection.
TX2203600,DFW Airport Police,buildable_now,1,official_downloadable_gis,Dallas CAD PARCEL_GEOM,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=%5C%5CDCAD.ORG%5CWEB%5CWEBDATA%5CWEBFORMS%5CGIS%20PRODUCTS%5CPARCEL_GEOM.zip,ZIP parcel geometry,2026-03-24,official,yes,primary_geometry_dallas_side,Use current Dallas County parcel geometry for the Dallas side of the airport.
TX2203600,DFW Airport Police,buildable_now,2,official_pdf_map,Dallas CAD PARCEL_GEOM join guidance,https://www.dallascad.org/PARCEL_GEOM.pdf,PDF,2026-03-24,official,yes,join_documentation,Defines how Dallas parcel geometry should be joined back to appraisal-roll attributes before airport parcel selection.
TX2203600,DFW Airport Police,buildable_now,2,official_pdf_map,DFW Airport tract map,https://dfwairport-prd-dfw-vip.dfwairport.com/cs/groups/webcontent/documents/webasset/p2_139343.pdf,PDF,2026-03-24,official,yes,validation_and_manual_cleanup,Use tract boundaries and airport tract labels to confirm the selected parcel bundle matches airport property and lease structure.
TX2203600,DFW Airport Police,buildable_now,2,official_pdf_map,DFW Airport land use map,https://dfwairport-prd-dfw-vip.dfwairport.com/cs/groups/webcontent/documents/webasset/p3_102231.pdf,PDF,2026-03-24,official,yes,validation_and_manual_cleanup,Use as secondary QA for airport campus edges and to catch airport-owned tracts that do not resolve cleanly through owner-name selection alone.
VAMWA0000,MWAA Police,buildable_now,1,official_downloadable_gis,VDOT_Routes FeatureServer,https://services.arcgis.com/p5v98VHDX9Atv3l7/arcgis/rest/services/VDOT_Routes/FeatureServer,ArcGIS FeatureServer exportable to shapefile geojson filegdb and geopackage,2026-03-24,official,yes,roadway_primary_geometry,Primary official GIS source for the Dulles Access Road and Dulles Toll Road facilities; use Route 267 corridor segments with a conservative roadway buffer rather than inventing a legal corridor polygon.
VAMWA0000,MWAA Police,buildable_now,2,official_pdf_map,DCA Roadway Network Improvements Final EA,https://www.mwaa.com/sites/mwaa.com/files/2024-03/dca_roadway_ea_v1_final_ea_20231213_signed.pdf,PDF,2026-03-24,official,yes,reagan_proxy_validation,Primary official Reagan map packet for validating that the selected bounded special airport block group is the correct campus proxy rather than a county or place surrogate.
VAMWA0000,MWAA Police,buildable_now,2,official_pdf_map,DCA Roadway Network Improvements Final EA Appendices,https://www.mwaa.com/sites/mwaa.com/files/2024-03/dca_roadway_ea_v2_final_ea_appendices_20240111.pdf,PDF,2026-03-24,official,yes,reagan_proxy_validation,Supplemental Reagan map packet for QA when the main EA pages are not detailed enough to confirm the bounded campus proxy edge.
VAMWA0000,MWAA Police,buildable_now,2,official_pdf_map,IAD Master Plan Airport Layout Plan drawing set,https://www.flydulles.com/sites/flydulles.com/files/2025-07/IAD_MP_ALP_Full%20Size%20Set_May2025_Optimized.pdf,PDF,2026-03-24,official,yes,iad_proxy_validation,Primary official Dulles property-map source for validating the two bounded special airport block groups used as the public campus proxy.
