source_id,authority_tier,source_family,title,url,local_anchor_path,years,geography_level,unit_of_analysis,methodology_role,surface_form,public_access,v2_should_drive_inputs,v2_good_for,v2_not_for,methodology_notes
cde_about_methodologies,official_primary,FBI CDE documentation,Methodologies Explain Potential Differences in UCR Data,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/about#methodologies,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/.playwright-cli/page-2026-03-22T17-47-15-437Z.yml,1960-2024+,varies,documentation,authoritative explanation of why publication tables diverge from explorer/master/open-data surfaces,documentation,open,no,lane selection; reconciliation triage; deciding whether a mismatch is methodological instead of substantive,numeric inputs,Publication releases pass internal quality review and may exclude data; CDE/master-style surfaces keep all reported data in file.
fbi_rcn_summary_2024,official_primary,FBI RCN documentation,"UCR Summary of Reported Crimes in the Nation, 2024",https://cde.ucr.cjis.gov/LATEST/resources/reports/UCR%20Summary%20of%20Reported%20Crimes%20in%20the%20Nation%202024.pdf,,2024,national; state; cross-collection summary,umbrella publication summary,"defines the annual release structure and clarifies that CIUS contains reported, estimated, and trended data",documentation_pdf,open,no,current annual-release semantics; coverage and cutoff framing; CIUS interpretation,component-level machine ingestion when the underlying CIUS/NIBRS tables are available,"RCN 2024 is the umbrella release; CIUS is one component within it and mixes reported, estimated, and trended outputs."
fbi_rcn_faq_2024,official_primary,FBI RCN documentation,"Reported Crimes in the Nation, 2024 Frequently Asked Questions",https://cde.ucr.cjis.gov/LATEST/resources/reports/Reported%20Crimes%20in%20the%20Nation%202024%20FAQs.pdf,,2024,national,release FAQ,"documents annual cutoff dates, continued SRS acceptance, CIUS contents, and the absence of agency-level reporting-status details in the release",documentation_pdf,open,no,explaining 2024 publication mechanics and why CIUS tables cannot answer agency reporting-status questions directly,numeric ingestion,The FAQ states that tables 1-7 use traditional estimation for agencies lacking a complete 12 months and that agency reporting status must be checked in CDE rather than in RCN.
cde_crime_explorer,official_primary,FBI CDE Explorer,Crime Explorer Pages,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/.playwright-cli/page-2026-03-22T17-48-23-009Z.yml,rolling monthly; snapshot showed Mar 2021-Mar 2026,national; state; agency,trend counts; rates; percentages; clearances; NIBRS demographic/characteristic views,dynamic monitoring surface with mixed data families,dynamic_explorer,open,conditional,current monitoring; quick context; anomaly triage; recent trend inspection,stable annual controls; publication replication; point-in-time reproducibility unless externally frozen,Violent/property views combine SRS data with summarized NIBRS data; remaining offenses are NIBRS-only; values can move as the dynamic surface refreshes.
cde_data_discovery_tool,official_primary,FBI CDE Data Discovery Tool,Data Discovery Tool,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/.playwright-cli/page-2026-03-18T23-14-10-263Z.yml,2016-present in live query range,national; state; local agency,query-based crime counts plus agency lookup,interactive query and agency-discovery surface,dynamic_explorer,open,conditional,ORI lookup; agency-name reconciliation; quick offense queries; explaining CIUS table inclusions/exclusions,publication control totals; raw incident extraction,"Violent/property queries explicitly apply the hierarchy rule, so the tool is not a drop-in substitute for raw NIBRS offense counting."
cde_agency_roster_endpoint,official_primary,FBI CDE public API,Agency Roster by State Abbreviation Endpoint,https://api.usa.gov/crime/fbi/cde/agency/byStateAbbr/{STATE_ABBR},/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,current roster; packet anchor pulled in 2024 workflow,state; county_group; agency,agency roster and current reporting-status fields,authoritative public roster and reporting-status surface,api,public_api_key_required,yes,ORI roster validation; agency type; county grouping; current is_nibrs; nibrs_start_date,crime totals; blind year-specific source policy without effective-date logic,Raw is_nibrs is current-status metadata; year-specific audits must derive effective status from nibrs_start_date.
cde_download_cius_annual,official_primary,FBI CDE Downloads,Crime in the United States Annual Reports,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/.playwright-cli/2024-cius-list-of-contents.xlsx,"annual; 2024 bundle updated August 5, 2025",national; state; MSA; county; city; university; agency,publication tables and resource pages,official FBI publication-table lane for CIUS within the annual RCN release,publication_table,open_with_download_selection,yes,published FBI estimates; agency tables 8-11; static annual controls; release-consistent tables,raw universe counts; current-month monitoring; agency reporting-status audits,Tables 1-7 are traditional CIUS estimates; tables 8-11 are reported agency counts limited to agencies with 12 months of complete offense data.
cde_download_nibrs_state,official_primary,FBI CDE Downloads,Crime Incident-Based Data by State,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,,annual by state; updated through 2024,state,incident/offense/victim/arrestee/property detail,raw NIBRS detail surface,master_raw,open_with_download_selection,yes,incident detail; ORI-level NIBRS support; offense/victim/property reconciliation,FBI publication-style cross-era totals; direct comparison to hierarchy-rule or CIUS estimate tables without translation,These are open-data style NIBRS records by state and year; they preserve detail that publication tables collapse or estimate away.
cde_download_nibrs_estimation_tables,official_primary,FBI CDE Downloads,NIBRS Estimation Tables,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/.playwright-cli/page-2026-03-22T17-45-27-787Z.yml,annual; 2024 observed,national; state; city-size and related table geographies,static estimate tables,FBI-hosted NIBRS-only estimate table surface,estimate_series,open_with_download_selection,conditional,static FBI-hosted NIBRS estimate tables when V2 wants a download-package surface rather than API pulls,raw reported counts; agency-level reconciliation; legacy SRS-estimate continuity,"CDE states these tables use methodologies developed in collaboration with BJS, so they belong to the NIBRS-estimate lane, not the CIUS publication lane."
cde_download_master_annual,official_primary,FBI CDE Downloads,Master File Downloads (Annual),https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/.playwright-cli/page-2026-03-22T17-45-27-787Z.yml,1960-2024 varies by collection,varies by collection,raw/master files,historical raw continuity and bulk extraction surface,master_raw,open_with_download_selection,conditional,bulk engineering inputs; cross-year raw continuity; pre-CDE style master-file workflows,plug-and-play published controls,Annual master files are fixed-length ASCII archives requiring programming knowledge; by methodology they retain all reported data in file.
