state_abbr,total_rows,is_nibrs_true_rows,effective_nibrs_2024_rows,future_dated_is_nibrs_rows,min_nibrs_start_date,max_nibrs_start_date,future_dated_share_of_is_nibrs_rows
AL,449,428,425,3,2006-01-01,2025-03-01,0.007009
AR,380,378,376,2,1999-02-01,2025-01-01,0.005291
AZ,127,103,102,1,2004-07-01,2025-09-01,0.009709
CA,865,738,664,74,2021-01-01,2026-01-01,0.100271
CO,257,244,242,2,1985-01-01,2025-01-01,0.008197
CT,108,108,108,0,1998-01-01,2023-01-01,0.0
DC,3,2,2,0,2000-01-01,2021-08-01,0.0
DE,63,63,63,0,2001-01-01,2022-05-01,0.0
FL,833,230,187,43,2021-01-01,2026-02-01,0.186957
GA,662,509,506,3,2018-01-01,2025-01-01,0.005894
IA,282,278,278,0,1991-01-01,2024-06-01,0.0
ID,113,113,113,0,1992-01-01,2021-06-01,0.0
IL,927,733,712,21,1991-01-01,2026-01-01,0.028649
IN,360,284,280,4,2013-01-01,2025-07-01,0.014085
KS,413,411,410,1,2000-01-01,2025-07-01,0.002433
KY,460,456,448,8,1996-04-01,2025-10-01,0.017544
LA,233,174,173,1,2003-01-01,2025-01-01,0.005747
MA,422,406,406,0,1993-05-01,2024-01-01,0.0
MD,153,152,146,6,2016-01-01,2025-01-01,0.039474
ME,129,129,129,0,2004-07-01,2022-01-01,0.0
MI,654,651,650,1,1994-10-01,2025-01-01,0.001536
MN,400,398,398,0,2016-06-01,2022-01-01,0.0
MO,597,566,557,9,2006-02-01,2025-11-01,0.015901
MS,307,223,179,44,2008-01-01,2025-04-01,0.197309
MT,114,114,114,0,2000-07-01,2023-01-01,0.0
NC,536,449,448,1,2018-08-01,2025-01-01,0.002227
ND,111,111,111,0,1991-01-01,2021-12-01,0.0
NE,287,283,282,1,1998-01-01,2025-11-01,0.003534
NH,214,213,212,1,2002-01-01,2025-12-01,0.004695
NJ,579,402,378,24,2021-01-01,2026-02-01,0.059701
NM,135,119,116,3,2018-01-01,2025-10-01,0.02521
NV,72,63,62,1,2019-11-01,2026-01-01,0.015873
NY,537,223,207,16,2019-01-01,2025-07-01,0.071749
OH,862,829,821,8,1998-01-01,2025-09-01,0.00965
OK,481,476,472,4,2008-01-01,2025-07-01,0.008403
OR,240,233,233,0,1997-06-01,2023-07-01,0.0
PA,1440,239,203,36,2013-01-01,2026-01-01,0.150628
RI,49,48,48,0,2002-05-01,2021-01-01,0.0
SC,552,506,505,1,1990-01-01,2025-01-01,0.001976
SD,141,141,141,0,1991-01-01,2021-01-01,0.0
TN,412,410,410,0,1996-07-01,2021-09-01,0.0
TX,1721,1690,1536,154,1997-01-01,2026-02-01,0.091124
UT,143,140,139,1,1992-06-01,2025-07-01,0.007143
VA,415,415,415,0,1994-01-01,2022-01-01,0.0
VT,87,87,87,0,1993-01-01,2017-02-01,0.0
WA,270,270,270,0,2005-12-01,2024-01-01,0.0
WI,461,417,414,3,2004-01-01,2025-07-01,0.007194
WV,410,405,405,0,1998-01-01,2022-11-01,0.0
WY,69,59,55,4,2018-01-01,2025-01-01,0.067797
