lane,priority_rank,preferred_source_id,preferred_title,preferred_url,backup_source_id,backup_title,backup_url,methodology_family,use_rule,do_not_use_for,guardrail,why
fbi_publication_estimates_trend,1,cde_download_cius_annual,Crime in the United States Annual Reports,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,fbi_rcn_summary_2024,"UCR Summary of Reported Crimes in the Nation, 2024",https://cde.ucr.cjis.gov/LATEST/resources/reports/UCR%20Summary%20of%20Reported%20Crimes%20in%20the%20Nation%202024.pdf,FBI publication table / estimate lane,Use CIUS tables 1-7 and related CIUS trend resources when V2 needs official FBI annual estimates or same-agency trend outputs.,raw universe counts; ORI reporting-status logic,Do not compare CIUS estimates/trends directly to raw NIBRS incident files without first converting the question into the same methodology lane.,RCN 2024 confirms that CIUS is the publication component containing estimated and trended outputs.
fbi_publication_agency_tables,1,cde_download_cius_annual,Crime in the United States Annual Reports,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,cde_data_discovery_tool,Data Discovery Tool,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer,FBI publication table / reported-agency lane,"Use CIUS tables 8-11 for published city, university, county, and state/tribal/other agency counts.",missing-agency backfilling from roster or participation counts inside the same lane,"These tables only contain agencies submitting 12 months of complete offense data; DDT is for explanation, not replacement.",The official CDE discovery page labels tables 8-11 as the published 2024 agency tables and states the 12-month completeness rule.
current_monitoring,1,cde_crime_explorer,Crime Explorer Pages,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend,cde_data_discovery_tool,Data Discovery Tool,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer,dynamic explorer lane,"Use the explorer and DDT for current monitoring, spike investigation, and interactive lookups.",canonical annual V2 control totals,Snapshot the timestamp externally if you must cite the dynamic surface; monthly values can move and publication pauses occur during annual release processing.,The explorer is explicitly dynamic and uses mixed summarized methodologies for some offense families.
agency_roster_validation,1,cde_agency_roster_endpoint,Agency Roster by State Abbreviation Endpoint,https://api.usa.gov/crime/fbi/cde/agency/byStateAbbr/{STATE_ABBR},cde_data_discovery_tool,Data Discovery Tool,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer,agency metadata lane,"Use the public roster endpoint for ORI, agency type, county grouping, current NIBRS status, and nibrs_start_date; use DDT for spot-checking names and agency presence.",crime totals or automatic 2024 source policy without start-date logic,Convert current is_nibrs to effective_nibrs_2024 using nibrs_start_date <= 2024-12-31 before making year-specific regime decisions.,The packet-local roster extract shows 481 agencies with is_nibrs=true but a start date after 2024-12-31.
participation_coverage_context,1,cde_download_participation,Uniform Crime Reporting Program Participation Data,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,bjs_nibrs_program,National Incident-Based Reporting System (NIBRS),https://bjs.ojp.gov/data-collection/national-incident-based-reporting-system-nibrs,coverage context lane,Use participation data for state-year agency counts and population-coverage context across the SRS-to-NIBRS transition.,ORI roster validation; offense totals; CIUS table reconstruction,"This dataset counts agencies reporting in any format and is meant to clarify population coverage, not to identify the roster of agencies eligible for a specific publication table.",The FBI participation panel states the any-format coverage purpose directly.
raw_nibrs_incident_detail,1,cde_download_nibrs_state,Crime Incident-Based Data by State,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,cde_download_master_annual,Master File Downloads (Annual),https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,raw/open-data lane,Use state NIBRS downloads when V2 needs incident/offense/victim/property detail or ORI-level support.,publication-style controls spanning the SRS era,Expect differences from CIUS tables and DDT violent/property counts because those surfaces apply different summarization and hierarchy rules.,The state downloads preserve raw NIBRS detail instead of publication-table or hierarchy-rule summaries.
historical_raw_master_continuity,1,cde_download_master_annual,Master File Downloads (Annual),https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,fbi_ucr_publications,UCR Publications,https://www.fbi.gov/how-we-can-help-you/more-fbi-services-and-information/ucr/publications,historical raw/master lane,Use annual master files when V2 needs bulk raw continuity across older UCR collections or wants the full in-file reported universe.,quick publication replication,"Master files require programming extraction and retain all reported data in file, which is a different lane from the publication tables.",The CDE methodology page explicitly aligns CDE/open-data behavior with the historical master-file methodology.
historical_publication_continuity,1,fbi_ucr_publications,UCR Publications,https://www.fbi.gov/how-we-can-help-you/more-fbi-services-and-information/ucr/publications,cde_download_cius_annual,Crime in the United States Annual Reports,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,historical publication lane,"Use FBI historical publications through 2019, then CIUS annual bundles in CDE/RCN for 2020+ publication-style continuity.",raw master-style engineering continuity,Keep the entire series in the publication lane; do not splice in master/open-data counts as if they were the same series.,This preserves the published-table methodology across the FBI site migration to CDE.
bjs_national_estimates,1,bjs_nibrs_api,NIBRS National Estimates API,https://bjs.ojp.gov/national-incident-based-reporting-system-nibrs-national-estimates-api,bjs_ckle_2024,"Crime Known to Law Enforcement, 2024",https://bjs.ojp.gov/document/ckle24.pdf,BJS NIBRS-estimate lane,Use the BJS API for national estimate tables in machine workflows; use CKLE for the official publication rendering and reliability context.,state/city/agency reported-count reconciliation,Choose current endpoints for latest revised values and archive endpoints for exact originally published prior-year values.,The API documentation explicitly separates current revised endpoints from archive endpoints.
fbi_hosted_nibrs_estimation_tables,1,cde_download_nibrs_estimation_tables,NIBRS Estimation Tables,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,bjs_ckle_2024,"Crime Known to Law Enforcement, 2024",https://bjs.ojp.gov/document/ckle24.pdf,NIBRS-estimate lane,Use FBI-hosted NIBRS estimation tables when V2 needs static download bundles from the CDE surface rather than the BJS API.,legacy CIUS estimate continuity or raw reported totals,"Treat these tables as part of the NIBRS-estimate family developed with BJS, not as a continuation of the SRS-based CIUS estimate series.",The CDE download page says the methods were developed in collaboration with BJS.
