state_abbr,priority_rank,ori9,agency_name,agency_type_name,review_lane,mismatch_reason,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,issue_type,issue_subtype,action_priority,recommended_master_action,recommended_source_action,recommended_next_step,doctrine_implication,packet_dir,recommendation_id,priority,affected_rows,target_scope,official_source_url,local_supporting_artifact,recommended_v2_action,implementation_readiness,doctrine_candidate,notes,priority_num
FL,,,,,,,,,,,,,,,broader_florida_reporting_structure_or_continuity_issue,,,,,,,state/review/source_packets/states/fl,FL-1,1,155,Florida 2024 mixed-source and statewide benchmark closure lane,https://www.fdle.state.fl.us/getContentAsset/d7a9c200-43fd-4a08-8f39-fe9382115a42/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q3.xlsx?language=en,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/fl/research_findings.json,Use the FDLE FIBRS workbook as Florida's current official 2024 source and build a quarter-aware ingestion path. Stop treating missing 2024 Florida SRS summary tables as the main blocker.,ready_to_implement,yes,Public Florida 2024 official incident data is quarter-based and the statewide gap looks like a coverage problem rather than an offense-mapping problem.,1.0
GA,,,,,,,,,,,,,,,broader_georgia_reporting_structure_or_continuity_issue,,,,,,,state/review/source_packets/states/ga,GA-1,1,383,Georgia 2024 mixed-source continuity lane,https://gbi.georgia.gov/document/document/2024-crime-statistics-summary/download,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ga/research_findings.json,Use the GBI 2024 annual summary plus monthly reports as Georgia continuity benchmarks and do not mass-flip Georgia agencies from SRS preference to NIBRS just because the roster says effective NIBRS by 2024.,queue_or_doctrine,yes,Georgia is not a California-style missing-master state. Its main production issue is a large mixed-source policy slice sitting under a summary-continuity public official layer.,1.0
LA,,,,,,,,,,,,,,,statewide_reporting_structure_issue,,,,,,,state/review/source_packets/states/la,LA-1,1,99,Louisiana 2024 source policy and statewide benchmark closure,https://lclelsac.com/wp-content/uploads/2025/05/Crime-in-LA-2024-FINAL-web.pdf,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/la/research_findings.json,"Treat Louisiana as a statewide transition/coverage state. The best public official source found is the May 1 2025 Crime in Louisiana 2023 report, not a public 2024 agency-level extract. Do not interpret the empty packet queue as clean source alignment.",queue_or_doctrine,yes,Use national FBI/BJS totals as statewide controls for 2024 until a real official 2024 agency extract is identified.,1.0
MS,,,,,,,,,,,,,,,broader_mississippi_reporting_structure_or_continuity_issue,,,,,,,state/review/source_packets/states/ms,MS-1,1,179,Mississippi 2024 official-source lane built from the state-run Crime Insight/TOPS repository,https://mscrimestats.dps.ms.gov/tops,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ms/research_findings.json,Build a Mississippi-specific official ingestion path from Mississippi Crime Insight/TOPS and use it as the primary 2024 official source for statewide reconciliation and agency backfill.,ready_to_implement,yes,"Mississippi already exposes a live public incident-based reporting surface, so the state should be handled as an official-source lane rather than as an SRS cleanup state.",1.0
NJ,,,,,,,,,,,,,,,source_policy_disagreement,,,,,,,state/review/source_packets/states/nj,NJ-1,1,2,Official 2024-effective NIBRS starters that still only have sparse repo SRS support,https://www.nj.gov/njsp/ucr/current-crime-data.shtml,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/nj/source_review_queue.csv,"Run a targeted agency-level reconciliation/backfill lane for Kearny Police Department and Gloucester City Police Department. Use NJSP current-crime data, CDE agency surfaces, or agency public releases to confirm whether 2024 incident-based counts exist separately. Until direct 2024 NIBRS evidence is recovered, keep the current sparse SRS annual observations rather than blindly flipping NJ statewide source policy.",ready_to_queue,yes,These are the only NJ rows where official 2024-effective NIBRS status conflicts with live repo source selection and they already carry nonzero support.,1.0
NY,,,,,,,,,,,,,,,source_policy_disagreement,,,,,,,state/review/source_packets/states/ny,NY-1,1,7,Seven official-effective-NIBRS rows where repo still relies on 2024 SRS,https://www.criminaljustice.ny.gov/crimnet/ojsa/crimereporting/ucr.htm,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ny/issue_bucket_summary.csv,"Keep current SRS production policy for NY 2024 unless a direct official 2024 IBR/NIBRS extract is found. Queue a targeted source audit for the seven benchmark-bearing rows, starting with Southampton Town, Camillus, and Rensselaer, rather than switching source policy off the FBI roster alone.",ready_to_queue,yes,"All NY mismatch weight is in these seven rows, but DCJS public materials show NY still runs an active mixed UCR/IBR monthly pipeline in 2024.",1.0
TX,,,,,,,,,,,,,,,master_reference_omission,,,,,,,state/review/source_packets/states/tx,TX-1,1,4,Live university ORIs already carrying 2024 repo NIBRS annual support,https://api.usa.gov/crime/fbi/cde/agency/byStateAbbr/TX,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/tx/research_findings.json,Enrich the four skeletal agency_master rows from the official roster and keep the current repo nibrs_incident_annual observations attached.,ready_to_implement,yes,These are reference-enrichment omissions rather than new-source or statewide-policy issues.,1.0
FL,,,,,,,,,,,,,,,repo_missing_observation_problem,,,,,,,state/review/source_packets/states/fl,FL-2,2,29,Official NIBRS start-by-2024 rows with no repo NIBRS output,https://www.fdle.state.fl.us/getContentAsset/d7a9c200-43fd-4a08-8f39-fe9382115a42/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q3.xlsx?language=en,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/fl/official_fibrs_spotcheck_2024.csv,"Backfill the 29 official start-by-2024 NIBRS rows first. Start with the 14 rows already name-matched in official_fibrs_spotcheck_2024.csv, then finish the rest with county and alias crosswalking.",ready_to_implement,yes,This is the clearest Florida production lane because the official transition signal already says these agencies should have 2024 incident-based data.,2.0
GA,,,,,,,,,,,,,,,source_policy_disagreement,,,,,,,state/review/source_packets/states/ga,GA-2,2,383,Top Georgia mixed-source agencies by support,https://gbi.georgia.gov/services/crime-statistics/gbi-crime-statistics-database,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ga/issue_bucket_summary.csv,"Request or obtain a Georgia agency-level official special-purpose extract, then reconcile the top mixed-source agencies offense-by-offense before changing source preference. Start with Atlanta, DeKalb, Gwinnett, Cobb, Bibb, Augusta-Richmond, Columbus, and Athens-Clarke.",needs_official_extract,yes,"The public database is unavailable, so Georgia needs an agency-level official extract before a trustworthy source-policy rewrite.",2.0
LA,,,,,,,,,,,,,,,repo_missing_observation_problem,,,,,,,state/review/source_packets/states/la,LA-2,2,39,Official effective-NIBRS-by-2024 rows with no repo 2024 observations,https://crimeinla.org/overview/,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/la/issue_bucket_summary.csv,Queue a Louisiana-specific official backfill lane for the 39 effective-NIBRS rows. Use direct LCLE/LSA/CDE extraction or bounded case research before changing source policy; do not invent a public 2024 workbook that has not been located.,ready_to_queue,yes,"Representative rows include Abbeville, Allen Parish SO, Basile, Chataignier, Clinton, Delgado CC, and LSU-Shreveport.",2.0
MS,,,,,,,,,,,,,,,source_policy_disagreement,,,,,,,state/review/source_packets/states/ms,MS-2,2,138,Aligned Mississippi rows currently preferred to SRS despite effective-NIBRS roster status,https://mscrimestats.dps.ms.gov/tops,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ms/supporting_issue_metrics.csv,"After the official Mississippi ingestion lane exists, change Mississippi source preference on effective-NIBRS rows from SRS-first to official incident-source first.",queue_or_doctrine,yes,"All 138 aligned Mississippi rows are still mixed-source and currently prefer srs_return_a_annual, which is a statewide policy disagreement rather than a row-level anomaly.",2.0
NJ,,,,,,,,,,,,,,,broader_nj_reporting_structure_or_continuity_issue,,,,,,,state/review/source_packets/states/nj,NJ-2,2,1,New Jersey 2024 statewide source policy,https://www.nj.gov/njsp/ucr/uniform-crime-reports.shtml,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/nj/research_findings.json,"Do not treat New Jersey like Florida. Keep the repo hybrid 2024 source lane as the statewide baseline and use NJ official public surfaces for targeted validation or backfill only. The annual NJSP workbook is available through 2023, while the live current-crime page is preliminary, mixes summary and incident-era reporting, and says zeros can mean delinquency.",queue_or_doctrine,yes,"NJ has no master omissions and only two actionable late-transition source disagreements, so a statewide source replacement pass would add complexity without closing a major benchmark gap.",2.0
NY,,,,,,,,,,,,,,,statewide_reporting_structure_or_continuity_issue,,,,,,,state/review/source_packets/states/ny,NY-2,2,190,NY 2024 mixed-source doctrine,https://www.criminaljustice.ny.gov/crimnet/ojsa/crimereporting/2024%20-%20External%20Crime%20Reporting%20Timeline%20for%20LEAs.pdf,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ny/research_findings.json,"Treat New York as a mixed monthly UCR/IBR state, not a Florida-style replacement lane. Do not launch a statewide 2024 source swap just because many agencies are effective-NIBRS in the FBI roster.",doctrine_only,yes,"DCJS explicitly says agencies use UCR or IBR, that official statistics draw from both, and that November 2024 agency review reports convert IBR submissions to UCR/summary format.",2.0
TX,,,,,,,,,,,,,,,statewide_reporting_structure_or_continuity_context,,,,,,,state/review/source_packets/states/tx,TX-2,2,1158,Texas 2024 statewide mixed-source lane,https://www.dps.texas.gov/section/crime-records/texas-uniform-crime-reporting-program,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/tx/supporting_issue_metrics.csv,Keep the current Texas statewide SRS-first publication-style lane for 2024 controls and use official effective-NIBRS status only as an audit/backfill signal.,ready_to_adopt,yes,Texas DPS explicitly preserves a summary/publication lane and repo SRS totals already track FBI publication totals closely.,2.0
