state_abbr,implementation_readiness,rows
CA,monitor_only,66
CA,ready_to_implement,96
CA,ready_to_queue,62
FL,queue_or_doctrine,1
FL,ready_to_implement,2
FL,ready_to_queue,2
GA,needs_official_extract,1
GA,queue_or_doctrine,1
GA,ready_to_queue,3
LA,monitor_only,1
LA,no_action,1
LA,queue_or_doctrine,2
LA,ready_to_queue,1
MS,queue_or_doctrine,1
MS,ready_to_implement,2
MS,ready_to_queue,2
NJ,queue_or_doctrine,1
NJ,ready_to_queue,3
NY,doctrine_only,1
NY,monitor_only,2
NY,ready_to_queue,1
TX,ready_to_adopt,2
TX,ready_to_implement,1
TX,ready_to_queue,2
