priority_rank,review_lane,state_abbr,state_fips,ori9,agency_name,agency_type_name,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,official_repo_presence_flag,official_repo_transition_flag,mismatch_reason,state_priority_score_abs
1,missing_in_repo_master,CA,06,CA0349950,Highway Patrol: North Sacramento Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,1543.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
3,missing_in_repo_master,CA,06,CA0349952,Highway Patrol: South Sacramento Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,700.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
5,missing_in_repo_master,CA,06,CA0079920,Highway Patrol: Contra Costa Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,444.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
7,missing_in_repo_master,CA,06,CA0019970,Highway Patrol: Oakland Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,438.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
10,missing_in_repo_master,CA,06,CA0509965,Highway Patrol: Modesto Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,357.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
11,missing_in_repo_master,CA,06,CA028090X,American Canyon Police Department,City,True,True,2022-12-01,False,True,nibrs_incident_annual,annual_only_but_usable,324.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
12,missing_in_repo_master,CA,06,CA0399965,Highway Patrol: Stockton Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,314.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
13,missing_in_repo_master,CA,06,CA0549980,Highway Patrol: Visalia Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,312.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
18,missing_in_repo_master,CA,06,CA0179951,Highway Patrol: Clear Lake Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,216.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
19,missing_in_repo_master,CA,06,CA0449920,Highway Patrol: Santa Cruz Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,212.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
20,missing_in_repo_master,CA,06,CA0019945,Highway Patrol: Hayward Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,205.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
21,missing_in_repo_master,CA,06,CA0159920,Highway Patrol: Bakersfield Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,203.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
23,missing_in_repo_master,CA,06,CA0519985,Highway Patrol: Yuba-Sutter Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,182.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
24,missing_in_repo_master,CA,06,CA0349960,Highway Patrol: East Sacramento Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,171.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
26,missing_in_repo_master,CA,06,CA0529930,Highway Patrol: Red Bluff Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,155.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
27,missing_in_repo_master,CA,06,CA0499960,Highway Patrol: Santa Rosa Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,151.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
29,missing_in_repo_master,CA,06,CA0129925,Highway Patrol: Humboldt Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,144.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
30,missing_in_repo_master,CA,06,CA0549981,Highway Patrol: Porterville Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,140.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
31,missing_in_repo_master,CA,06,CA0049940,Highway Patrol: Oroville Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,135.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
32,missing_in_repo_master,CA,06,CA0099945,Highway Patrol: Placerville Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,135.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
33,missing_in_repo_master,CA,06,CA0319920,Highway Patrol: Auburn Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,122.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
36,missing_in_repo_master,CA,06,CA0109935,Highway Patrol: Fresno Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,105.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
39,missing_in_repo_master,CA,06,CA0199935,Highway Patrol: East Los Angeles Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,93.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
40,missing_in_repo_master,CA,06,CA0239950,Highway Patrol: Ukiah Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,92.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
41,missing_in_repo_master,CA,06,CA0199940,Highway Patrol: Newhall Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,88.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
42,missing_in_repo_master,CA,06,CA0059955,Highway Patrol: San Andreas Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,86.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
43,missing_in_repo_master,CA,06,CA0209950,Highway Patrol: Madera Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,86.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
44,missing_in_repo_master,CA,06,CA0219950,Highway Patrol: Marin Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,82.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
50,missing_in_repo_master,CA,06,CA0249960,Highway Patrol: Merced Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,70.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
51,missing_in_repo_master,CA,06,CA0289925,Highway Patrol: Napa Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,68.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
52,missing_in_repo_master,CA,06,CA0459935,Highway Patrol: Redding Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,68.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
53,missing_in_repo_master,CA,06,CA0299930,Highway Patrol: Grass Valley Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,67.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
54,missing_in_repo_master,CA,06,CA0089920,Highway Patrol: Crescent City Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,65.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
56,missing_in_repo_master,CA,06,CA0139925,Highway Patrol: El Centro Area Office,State Police,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,56.0,missing_in_repo_master,aligned_or_mixed,missing_in_repo_master,0.0
