priority_rank,review_lane,state_abbr,state_fips,ori9,agency_name,agency_type_name,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,official_repo_presence_flag,official_repo_transition_flag,mismatch_reason,state_priority_score_abs
1,source_policy_disagreement,GA,13.0,GA0440200,DeKalb County Police Department,County,True,True,2018-01-01,True,True,srs_return_a_annual,full_monthly,23961.0,aligned,mixed_source_2024,aligned,0.0
2,source_policy_disagreement,GA,13.0,GAAPD0000,Atlanta Police Department,City,True,True,2020-10-01,True,True,srs_return_a_annual,true_partial,18047.0,aligned,mixed_source_2024,aligned,0.0
3,source_policy_disagreement,GA,13.0,GA0670200,Gwinnett County Police Department,County,True,True,2020-01-01,True,True,srs_return_a_annual,full_monthly,12360.0,aligned,mixed_source_2024,aligned,0.0
4,source_policy_disagreement,GA,13.0,GA0330200,Cobb County Police Department,County,True,True,2019-08-01,True,True,srs_return_a_annual,full_monthly,8065.0,aligned,mixed_source_2024,aligned,0.0
5,source_policy_disagreement,GA,13.0,GA0110000,Bibb County Sheriff's Office,County,True,True,2019-02-01,True,True,srs_return_a_annual,full_monthly,8020.0,aligned,mixed_source_2024,aligned,0.0
6,source_policy_disagreement,GA,13.0,GA1210000,Augusta-Richmond County Sheriff's Office,County,True,True,2023-01-01,True,True,srs_return_a_annual,true_partial,7741.0,aligned,mixed_source_2024,aligned,0.0
7,source_policy_disagreement,GA,13.0,GA1060100,Columbus Police Department,City,True,True,2018-01-01,True,True,srs_return_a_annual,full_monthly,5709.0,aligned,mixed_source_2024,aligned,0.0
8,source_policy_disagreement,GA,13.0,GA0290100,Athens-Clarke County Police Department,City,True,True,2018-01-01,True,True,srs_return_a_annual,full_monthly,3481.0,aligned,mixed_source_2024,aligned,0.0
9,source_policy_disagreement,GA,13.0,GA0310100,Clayton County Police Department,County,True,True,2019-06-01,True,True,srs_return_a_annual,true_partial,3271.0,aligned,mixed_source_2024,aligned,0.0
10,source_policy_disagreement,GA,13.0,GA0760200,Warner Robins Police Department,City,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly,3132.0,aligned,mixed_source_2024,aligned,0.0
11,source_policy_disagreement,GA,13.0,GA0600200,East Point Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,3008.0,aligned,mixed_source_2024,aligned,0.0
12,source_policy_disagreement,GA,13.0,GA0750500,Henry County Police Department,County,True,True,2019-06-01,True,True,srs_return_a_annual,full_monthly,2959.0,aligned,mixed_source_2024,aligned,0.0
13,source_policy_disagreement,GA,13.0,GA0607200,South Fulton Police Department,City,True,True,2019-08-01,True,True,srs_return_a_annual,full_monthly,2674.0,aligned,mixed_source_2024,aligned,0.0
14,source_policy_disagreement,GA,13.0,GA0920100,Valdosta Police Department,City,True,True,2019-11-01,True,True,srs_return_a_annual,full_monthly,2544.0,aligned,mixed_source_2024,aligned,0.0
15,source_policy_disagreement,GA,13.0,GA0480100,Douglasville Police Department,City,True,True,2019-07-01,True,True,srs_return_a_annual,full_monthly,2098.0,aligned,mixed_source_2024,aligned,0.0
16,source_policy_disagreement,GA,13.0,GA0447100,Dunwoody  Police Department,City,True,True,2018-01-01,True,True,srs_return_a_annual,full_monthly,1810.0,aligned,mixed_source_2024,aligned,0.0
17,source_policy_disagreement,GA,13.0,GA0630200,Glynn County Police Department,County,True,True,2019-05-01,True,True,srs_return_a_annual,full_monthly,1793.0,aligned,mixed_source_2024,aligned,0.0
18,source_policy_disagreement,GA,13.0,GA0605600,Sandy Springs Police Department,City,True,True,2018-01-01,True,True,srs_return_a_annual,full_monthly,1689.0,aligned,mixed_source_2024,aligned,0.0
19,source_policy_disagreement,GA,13.0,GA1410200,LaGrange Police Department,City,True,True,2018-01-01,True,True,srs_return_a_annual,full_monthly,1678.0,aligned,mixed_source_2024,aligned,0.0
20,source_policy_disagreement,GA,13.0,GA0470100,Albany Police Department,City,True,True,2019-05-01,True,True,srs_return_a_annual,full_monthly,1609.0,aligned,mixed_source_2024,aligned,0.0
21,source_policy_disagreement,GA,13.0,GA1100000,Paulding County Sheriff's Office,County,True,True,2018-01-01,True,True,srs_return_a_annual,full_monthly,1544.0,aligned,mixed_source_2024,aligned,0.0
22,source_policy_disagreement,GA,13.0,GA0570200,Rome Police Department,City,True,True,2020-05-01,True,True,srs_return_a_annual,full_monthly,1521.0,aligned,mixed_source_2024,aligned,0.0
23,source_policy_disagreement,GA,13.0,GA0447200,Brookhaven Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,1484.0,aligned,mixed_source_2024,aligned,0.0
24,source_policy_disagreement,GA,13.0,GA0690000,Hall County Sheriff's Office,County,True,True,2018-01-01,True,True,srs_return_a_annual,full_monthly,1429.0,aligned,mixed_source_2024,aligned,0.0
25,source_policy_disagreement,GA,13.0,GA0690100,Gainesville Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,1365.0,aligned,mixed_source_2024,aligned,0.0
26,source_policy_disagreement,GA,13.0,GA0440400,Chamblee Police Department,City,True,True,2020-01-01,True,True,srs_return_a_annual,full_monthly,1355.0,aligned,mixed_source_2024,aligned,0.0
27,source_policy_disagreement,GA,13.0,GA0330300,Marietta Police Department,City,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly,1336.0,aligned,mixed_source_2024,aligned,0.0
28,source_policy_disagreement,GA,13.0,GA1070000,Newton County Sheriff's Office,County,True,True,2018-10-01,True,True,srs_return_a_annual,full_monthly,1319.0,aligned,mixed_source_2024,aligned,0.0
29,source_policy_disagreement,GA,13.0,GA0600100,College Park Police Department,City,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly,1215.0,aligned,mixed_source_2024,aligned,0.0
30,source_policy_disagreement,GA,13.0,GA0480000,Douglas County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,1165.0,aligned,mixed_source_2024,aligned,0.0
31,source_policy_disagreement,GA,13.0,GA0890100,Hinesville Police Department,City,True,True,2019-06-01,True,True,srs_return_a_annual,full_monthly,1140.0,aligned,mixed_source_2024,aligned,0.0
32,source_policy_disagreement,GA,13.0,GA0380000,Coweta County Sheriff's Office,County,True,True,2018-12-01,True,True,srs_return_a_annual,full_monthly,1101.0,aligned,mixed_source_2024,aligned,0.0
33,source_policy_disagreement,GA,13.0,GA0600500,Roswell Police Department,City,True,True,2019-08-01,True,True,srs_return_a_annual,full_monthly,1084.0,aligned,mixed_source_2024,aligned,0.0
34,source_policy_disagreement,GA,13.0,GA0580000,Forsyth County Sheriff's Office,County,True,True,2019-08-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,1065.0,aligned,mixed_source_2024,aligned,0.0
35,source_policy_disagreement,GA,13.0,GA0360000,Columbia County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,1051.0,aligned,mixed_source_2024,aligned,0.0
36,source_policy_disagreement,GA,13.0,GA1550000,Whitfield County Sheriff's Office,County,True,True,2019-06-01,True,True,srs_return_a_annual,full_monthly,1049.0,aligned,mixed_source_2024,aligned,0.0
37,source_policy_disagreement,GA,13.0,GA0380100,Newnan Police Department,City,True,True,2019-07-01,True,True,srs_return_a_annual,full_monthly,1048.0,aligned,mixed_source_2024,aligned,0.0
38,source_policy_disagreement,GA,13.0,GA1260100,Griffin Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,1039.0,aligned,mixed_source_2024,aligned,0.0
39,source_policy_disagreement,GA,13.0,GA0080000,Bartow County Sheriff's Office,County,True,True,2020-01-01,True,True,srs_return_a_annual,full_monthly,986.0,aligned,mixed_source_2024,aligned,0.0
40,source_policy_disagreement,GA,13.0,GA0750100,McDonough Police Department,City,True,True,2019-01-01,True,True,srs_return_a_annual,full_monthly,981.0,aligned,mixed_source_2024,aligned,0.0
41,source_policy_disagreement,GA,13.0,GA0280000,Cherokee County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,956.0,aligned,mixed_source_2024,aligned,0.0
42,source_policy_disagreement,GA,13.0,GA0920000,Lowndes County Sheriff's Office,County,True,True,2019-08-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,954.0,aligned,mixed_source_2024,aligned,0.0
43,source_policy_disagreement,GA,13.0,GA0600400,Alpharetta Police Department,City,True,True,2019-03-01,True,True,srs_return_a_annual,full_monthly,950.0,aligned,mixed_source_2024,aligned,0.0
44,source_policy_disagreement,GA,13.0,GA0750200,Stockbridge Police Department,City,True,True,2022-06-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,912.0,aligned,mixed_source_2024,aligned,0.0
45,source_policy_disagreement,GA,13.0,GA0160100,Statesboro Police Department,City,True,True,2019-11-01,True,True,srs_return_a_annual,full_monthly,908.0,aligned,mixed_source_2024,aligned,0.0
46,source_policy_disagreement,GA,13.0,GA0350100,Moultrie Police Department,City,True,True,2019-07-01,True,True,srs_return_a_annual,full_monthly,883.0,aligned,mixed_source_2024,aligned,0.0
47,source_policy_disagreement,GA,13.0,GA0330400,Smyrna Police Department,City,True,True,2019-07-01,True,True,srs_return_a_annual,full_monthly,873.0,aligned,mixed_source_2024,aligned,0.0
48,source_policy_disagreement,GA,13.0,GA1290100,Americus Police Department,City,True,True,2019-08-01,True,True,srs_return_a_annual,full_monthly,868.0,aligned,mixed_source_2024,aligned,0.0
49,source_policy_disagreement,GA,13.0,GA1220000,Rockdale County Sheriff's Office,County,True,True,2020-09-01,True,True,srs_return_a_annual,full_monthly,855.0,aligned,mixed_source_2024,aligned,0.0
50,source_policy_disagreement,GA,13.0,GA1480100,Waycross Police Department,City,True,True,2019-06-01,True,True,srs_return_a_annual,full_monthly,827.0,aligned,mixed_source_2024,aligned,0.0
51,source_policy_disagreement,GA,13.0,GA0070000,Barrow County Sheriff's Office,County,True,True,2018-01-01,True,True,srs_return_a_annual,full_monthly,794.0,aligned,mixed_source_2024,aligned,0.0
52,source_policy_disagreement,GA,13.0,GA0670300,Lawrenceville Police Department,City,True,True,2021-01-01,True,True,srs_return_a_annual,full_monthly,778.0,aligned,mixed_source_2024,aligned,0.0
53,source_policy_disagreement,GA,13.0,GA0670900,Suwanee Police Department,City,True,True,2018-08-01,True,True,srs_return_a_annual,full_monthly,763.0,aligned,mixed_source_2024,aligned,0.0
54,source_policy_disagreement,GA,13.0,GA1550100,Dalton Police Department,City,True,True,2020-11-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,741.0,aligned,mixed_source_2024,aligned,0.0
55,source_policy_disagreement,GA,13.0,GA1360100,Thomasville Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,728.0,aligned,mixed_source_2024,aligned,0.0
56,source_policy_disagreement,GA,13.0,GA0570100,Floyd County Police Department,County,True,True,2020-01-01,True,True,srs_return_a_annual,full_monthly,662.0,aligned,mixed_source_2024,aligned,0.0
57,source_policy_disagreement,GA,13.0,GA1070100,Covington Police Department,City,True,True,2020-01-01,True,True,srs_return_a_annual,full_monthly,662.0,aligned,mixed_source_2024,aligned,0.0
58,source_policy_disagreement,GA,13.0,GA0310200,Forest Park Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,661.0,aligned,mixed_source_2024,aligned,0.0
