concept_family,concept_name,ags_consistent,protected_or_excluded_flag,source_family,source_dataset,table_or_variable_codes_or_fields,available_at_bg,available_at_tract,available_current_year,public_access_status,proposed_transformation,priority,research_notes,source_links
alley,alley_length_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
avg,avg_household_size_owner,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
avg,avg_household_size_renter,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
avg,avg_vehicles_owner,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
avg,avg_vehicles_per_household,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
avg,avg_vehicles_renter,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
bike,bike_path_length_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
commute,commute_45_59_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
commute,commute_45plus_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
commute,commute_60plus_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
commute,commute_bicycle_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
commute,commute_carpool_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
commute,commute_drive_alone_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
commute,commute_taxi_ridehail_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
commute,commute_transit_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
commute,commute_walk_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
commute,commute_work_from_home_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
daytime,daytime_population_jobs_proxy_density_sqkm,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
daytime,daytime_population_jobs_proxy_ratio,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
edu,edu_bachelors_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
edu,edu_doctorate_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
edu,edu_hs_diploma_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
edu,edu_masters_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
edu,edu_professional_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
education,education_anchor_density_sqkm,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
employed,employed_per_capita,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_1_vehicle_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_2_vehicle_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_2plus_vehicle_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_3_vehicle_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_3plus_vehicle_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_4plus_vehicle_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_access_without_subscription_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_broadband_any_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_cellular_only_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_cellular_plan_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_computer_access_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_computer_broadband_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
